arm,auc,auc_hi,auc_lo,modality,model,rho_margin_disc,rho_margin_full,rho_off_target,rho_on_target,syn_between_sd,syn_mean_ensemble,syn_n_variants,syn_ratio,syn_within_sd
baseline:mutation_count,0.6641152049818371,0.7023839940850554,0.6254489941367352,none,trivial,0.5022812955101265,0.45679465308805267,0.02489069397021135,0.45637056042996815,,,,,
NT partner-blind (CDS alone),0.5051634665282823,0.5610098945219321,0.44499720062152853,dna,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-0.1143988740695961,-0.00011716016811358417,-0.07891798125072531,-0.0980087738658889,,,,,
NT partner-aware (REAL ParD3:ParE3 operon),0.41367410482615463,0.4711265051247612,0.35451060386137784,dna,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-0.1838343975516681,-0.04840245250470725,-0.06916805750388805,-0.10807398944712344,,,,,
"NT partner-aware (ParD3:ParE2, synthetic)",0.39231966787752987,0.4530682150734047,0.33517113163769624,dna,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-0.23833793025276762,-0.04706779991214767,-0.0028715362735237905,-0.03979235648483529,,,,,
NT partner-aware MARGIN (E3 - E2),0.5884276076803321,0.6436440191601205,0.5300420840926424,dna,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,0.19034325764159143,0.017523324477624697,-0.1687111964047001,-0.152724568952327,,,,,
synonymous_floor,,,,dna,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,,,,,6.2649986248013745,7.794871794871795,39,0.5410051239541492,3.389396357583242
