depth,approx_tokens,auc,auc_lo,auc_hi,rho_on,rho_off,rho_margin,seconds
0,93,0.2120653866113129,0.1686249748690191,0.2560887373874607,0.5880134331229353,0.5396362025745948,0.02560505639079753,6
20,1953,0.19587441619097043,0.1552163731814355,0.23810756335597394,0.5873917944611423,0.5611016730807038,0.00465219914228053,15
64,6045,0.22830825116761805,0.18403196855907578,0.2745496579039775,0.5709784838926508,0.5551906072849063,-0.0009724735281506186,63
128,11997,0.22973533990659056,0.18484659090909092,0.27564064566692237,0.5706084742956372,0.5547608874864407,0.0006820846025676659,156
