model,params_M,auc,auc_lo,auc_hi,rho_cognate,rho_chymotrypsin,rho_mesotrypsin
baseline:mutation_count,0,0.49876441515650743,0.49719517411433173,0.5,0.03260369445328272,0.05790153609500547,-0.03449874037075569
facebook/esm2_t6_8M_UR50D,8,0.5066787408242925,0.47470159758077435,0.5400617325128841,-0.1023210614108679,-0.08933435546663329,-0.17043551553385927
facebook/esm2_t12_35M_UR50D,35,0.3907312456189666,0.3611036622718083,0.4216829768438439,-0.020424333583339248,0.15382186500651698,-0.07148464598289422
facebook/esm2_t30_150M_UR50D,150,0.36928063876800893,0.34051846705354816,0.3983846846621415,0.16562332223954795,0.2688626239132656,0.0084100954874517
facebook/esm2_t33_650M_UR50D,650,0.3279325792322117,0.3003510360508951,0.3560901685119846,0.16048472048370718,0.33155374185375425,0.060095311373872154
