arm,auc,auc_hi,auc_lo,modality,model,rho_margin_disc,rho_margin_full,rho_off_target,rho_on_target
baseline:mutation_count,0.6641152049818371,0.7023839940850554,0.6254489941367352,none,trivial,0.5022812955101265,0.45679465308805267,0.02489069397021135,0.45637056042996815
HyenaDNA AR-LL partner-blind (CDS alone),0.4825116761805916,0.5406360075735415,0.42444402175750817,dna,LongSafari/hyenadna-small-32k-seqlen-hf,-0.07779414354640427,0.02399171107786179,-0.06712601452301947,-0.06787165664750597
HyenaDNA AR-LL (REAL ParD3:ParE3 operon),0.4842631032693306,0.5408287275057548,0.42456438521142237,dna,LongSafari/hyenadna-small-32k-seqlen-hf,-0.07407404258832188,0.039945811386277265,-0.05756826264693765,-0.04171213514083424
"HyenaDNA AR-LL (ParD3:ParE2, synthetic)",0.4768292682926829,0.5349131658456261,0.41726552845870135,dna,LongSafari/hyenadna-small-32k-seqlen-hf,-0.10002210299618393,0.026973387999321554,-0.05529428840745834,-0.05526552287113452
HyenaDNA AR-LL MARGIN (E3 - E2),0.5504151530877011,0.6069083602741133,0.49178102035963894,dna,LongSafari/hyenadna-small-32k-seqlen-hf,0.16520176068311485,0.05379310723131375,-0.01959037522870625,0.048261570318022154
