auc,auc_hi,auc_lo,flank,mode,n_chunks,rho_off,rho_on,seed,transform
0.44922158796056044,0.5073033482719868,0.3921879605646278,60,direct,1,-0.12688814413174682,-0.16759370961696657,0,shuffle_mono
0.43500259470679814,0.4931751151294204,0.3736338591833483,300,direct,1,-0.03705823976264987,-0.09027993210166159,0,shuffle_mono
0.35435910742086146,0.40946955204964214,0.2987304058882453,1200,direct,1,0.01708017507914228,-0.23346050992913137,0,shuffle_mono
0.40793980280228337,0.4674167981691817,0.35213368028093595,3000,direct,1,-0.032146635688317354,-0.027436088103538033,0,shuffle_mono
0.3837311883757135,0.4418080468543066,0.3281039455871585,5400,direct,1,-0.0450337505949929,-0.13038347537605427,0,shuffle_mono
0.4127919045147898,0.471694379544527,0.3546800794961801,60,direct,1,0.0037960497366159355,-0.11188137741144419,1,shuffle_mono
0.5206798131811106,0.5805334166796895,0.46107696826275574,300,direct,1,-0.11399631997252108,-0.0961145816222233,1,shuffle_mono
0.4072132848988064,0.46227743620600764,0.3497622865968011,1200,direct,1,0.07804352725443198,0.020333462259217595,1,shuffle_mono
0.5149455111572392,0.57222048514902,0.45759744821997034,3000,direct,1,-0.08242285246753411,-0.09602315293469747,1,shuffle_mono
0.33840166061235083,0.39210462394612583,0.2841141265465343,5400,direct,1,-0.024967816997766408,-0.1443268033566054,1,shuffle_mono
0.47086144265697977,0.5311507256056703,0.40998392987396776,60,direct,1,-0.08245199715339159,-0.11077440451558303,2,shuffle_mono
0.4507005708354956,0.5062017830220634,0.3948467012135484,300,direct,1,-0.14477473970833157,-0.2485215709439465,2,shuffle_mono
0.3907628437986507,0.44751700074946,0.33416729001333706,1200,direct,1,0.004268538888526382,-0.02746149842092233,2,shuffle_mono
0.34146341463414637,0.3969062538969946,0.28931386892295496,3000,direct,1,-0.0343519561281136,-0.2032861439819626,2,shuffle_mono
0.4189932537623249,0.47661454302345746,0.3617454364192785,5400,direct,1,-0.08356184798182391,-0.20764371199286213,2,shuffle_mono
0.5016087182148418,0.5623524019143181,0.44474872033532714,60,direct,1,-0.12140801183415618,-0.10834631923458508,0,shuffle_dinuc
0.31198754540736895,0.3645211346142431,0.26191125982447,300,direct,1,0.0043390438978159,-0.14389270458913034,0,shuffle_dinuc
0.2643227815256876,0.31729449826232015,0.21565117330996533,1200,direct,1,0.18149790624372414,0.05410053362813737,0,shuffle_dinuc
0.3449922158796056,0.40099181398810796,0.2909578812255327,3000,direct,1,-0.027784407729389636,-0.22727551466988563,0,shuffle_dinuc
0.34748313440581213,0.4031651047458002,0.2950600354222014,5400,direct,1,0.0034093901475245806,-0.18368020655464073,0,shuffle_dinuc
0.4495848469122989,0.5104260662157339,0.3888831017181671,60,direct,1,-0.06714582643641231,-0.08376583282463607,1,shuffle_dinuc
0.5867151011935652,0.6403649303474898,0.5299978573958165,300,direct,1,-0.0941300773202553,-0.09492069355926568,1,shuffle_dinuc
0.21629475869226777,0.26247957044452996,0.17231426033469857,1200,direct,1,0.20401934374968592,-0.0840667466610176,1,shuffle_dinuc
0.44976647638816813,0.5081736034583725,0.3920082582577003,3000,direct,1,-0.13968574843345904,-0.18768109169820935,1,shuffle_dinuc
0.345433316035288,0.40127588508047096,0.2912136608389553,5400,direct,1,0.03491529771627248,-0.14331819682763924,1,shuffle_dinuc
0.43445770627919045,0.49423776448903617,0.3739909727275135,60,direct,1,-0.04773656197812856,-0.12120315067646696,2,shuffle_dinuc
0.4262324857291126,0.48311430980415426,0.3684068542626883,300,direct,1,-0.14428884082647897,-0.07079316490437061,2,shuffle_dinuc
0.4663466528282304,0.5249275318748751,0.4083288671550608,1200,direct,1,-0.13664182596772062,-0.26296631215015176,2,shuffle_dinuc
0.36507524649714584,0.4217933306881661,0.3105148733076566,3000,direct,1,-0.04591350013565714,-0.1690292164209376,2,shuffle_dinuc
0.3988842760768033,0.4561844435862205,0.3456000333865714,5400,direct,1,-0.0980287557603552,-0.20366322238982332,2,shuffle_dinuc
0.36421899325376234,0.42075564471433047,0.3080592832502192,1440,recursive,1,0.0009111978482954069,-0.05230107347665055,0,shuffle_mono
0.3481318111053451,0.4007152860893806,0.29462590411273837,2880,recursive,2,-0.006565823839632753,-0.03803938193451836,0,shuffle_mono
0.36019719771665804,0.4141310083035372,0.3053114023297208,4320,recursive,3,-0.044120547092857364,-0.11936316537846123,0,shuffle_mono
0.3517384535547483,0.4043813130630603,0.297817546989451,5760,recursive,4,-0.02150239914945249,-0.09163480817656945,0,shuffle_mono
0.3640114167099118,0.4174061064824413,0.3081716382580152,8640,recursive,6,-0.05934216066813644,-0.14685754815346888,0,shuffle_mono
0.3466268811624286,0.3996277493969065,0.2912595776838784,11520,recursive,8,-0.02818850154208062,-0.12113585784808803,0,shuffle_mono
0.34304618578100676,0.39598162425419814,0.2874973888910134,14400,recursive,10,-0.034425195244266786,-0.1488898775689566,0,shuffle_mono
0.3441619097042034,0.3978307784224199,0.2875366963382285,17280,recursive,12,-0.03864127195268834,-0.152216051409379,0,shuffle_mono
0.3428645563051375,0.39559084855383836,0.2874638057734805,20160,recursive,14,-0.04421271237985838,-0.1647876355606849,0,shuffle_mono
0.36152049818370524,0.4184248030567566,0.305808788159444,1440,recursive,1,-0.01525960156064186,-0.12792375265392525,1,shuffle_mono
0.34291645044110014,0.39815728896837055,0.28868128433921,2880,recursive,2,0.012880984983224866,-0.10277376146993793,1,shuffle_mono
0.29862480539699016,0.35244289964083425,0.24759816059128908,4320,recursive,3,0.04364453808622751,-0.11608820446326522,1,shuffle_mono
0.28648157758173326,0.3393696770448451,0.23669648766870988,5760,recursive,4,0.044275691984599935,-0.1406075098215696,1,shuffle_mono
0.2958484691229891,0.34663800450927496,0.24525098766300205,8640,recursive,6,0.017820137068625518,-0.14227303492686594,1,shuffle_mono
0.2817592112091334,0.33199503604513164,0.2320902003889378,11520,recursive,8,0.04016898933284275,-0.11836639678443965,1,shuffle_mono
0.27026466009340944,0.32038310955135685,0.22054963349163742,14400,recursive,10,0.04581119705684244,-0.1483801418368676,1,shuffle_mono
0.27457187337830824,0.3234697095841064,0.22531879195332968,17280,recursive,12,0.04083547481722385,-0.14245565909081748,1,shuffle_mono
0.2815516346652828,0.33114985827220744,0.23181217225038764,20160,recursive,14,0.03562894527071158,-0.13847913850578442,1,shuffle_mono
0.34935132330046703,0.4071545315301852,0.2962795966444014,1440,recursive,1,-0.03141975469243953,-0.1462658900203074,2,shuffle_mono
