model,n,paired_sd,mde,mde_over_reference,observed,ci_lo,ci_hi,verdict
order-2 3-periodic Markov,24,0.0019125517591917225,0.0010931143805591444,0.010604023603328839,0.0035205324912645775,0.0027129327577448156,0.004328132224784339,REPRESENTS
order-2 aperiodic Markov,24,0.0006839086353887614,0.0003908863437233093,0.009995302023924579,-0.00021216805039965073,-0.0005009573231800376,7.662122238073622e-05,NULL
