auc,auc_bag,condition,repeat,rho_bag,rho_fitness
0.151141670991178,nan,none,-1,nan,0.5101464577114213
0.4938505448884276,0.5790866632070576,high,0,0.3242642450486798,0.42869248355269757
0.4429164504411002,0.6173456149455112,high,1,0.42905438462486756,0.5825558494587739
0.5788531395952258,0.6041126102750389,high,2,0.4182460688329956,0.5165676392321943
0.6005189413596264,0.6748962117280747,high,3,0.40563487759061273,0.4801210114700719
0.5049299429164504,0.49390243902439024,high,4,0.355700911857418,0.5537459904407308
0.30251686559418783,0.4954592631032693,high,5,0.33950270913719455,0.5160010927963514
0.41110534509600416,0.4705630513751946,high,6,0.39727327096005355,0.493778236645133
0.5016606123508044,0.5717695900363259,high,7,0.2534428211142761,0.3417021828269972
0.6672288531395952,0.6559548521017126,high,8,0.38458591074819515,0.4144397367866501
0.5945770627919045,0.6765308770108978,high,9,0.16421932875893133,0.27401591794925995
0.26956408925791386,0.3561624286455631,high,10,0.4706435001202827,0.5401653396661525
0.4057343020238713,0.49961079398028024,high,11,0.4334883197138201,0.4521654599768086
0.43744161909704204,0.5607031655422937,low,0,-0.3391512967932631,-0.23467259591263068
0.2836274001037883,0.41002854177477943,low,1,-0.19330214496807313,-0.01933626171381425
0.49610793980280227,0.49878048780487805,low,2,-0.3976270090978303,-0.09173840774251063
0.45983393876491957,0.5635962636222107,low,3,-0.27688210267531455,-0.08695143458029539
0.6672807472755579,0.7022184743124027,low,4,-0.32715076097751333,-0.11078655919395912
0.6331862999481058,0.6195900363258952,low,5,-0.4699922736435366,-0.349498788940393
0.40921120913336795,0.42982615464452517,low,6,-0.3296033615421536,-0.12168373633463529
0.6024909185262065,0.5967825635703166,low,7,-0.434901340639176,-0.35215849410541133
0.4932537623248573,0.5224312402698496,low,8,-0.4929846030262903,-0.3421162533544582
0.5317851582771147,0.5314348728593669,low,9,-0.31277289323598606,-0.1472662821363934
0.3182537623248573,0.3490788790866632,low,10,-0.24858523550040462,-0.1222288993702969
0.4739491437467566,0.4913207057602491,low,11,-0.522092451519961,-0.38996274100260997
0.384094447327452,0.5166580176440062,random,0,0.1943469177192632,0.3762578905163962
0.197145822522055,0.32903476907109497,random,1,-0.15852495201095518,0.15612806082854336
0.4438245978204463,0.5261676180591593,random,2,-0.04411980734325303,0.08667764286394114
0.5358588479501817,0.488661131292164,random,3,-0.07814748262757716,0.1341726473771
0.5239491437467566,0.5674234561494551,random,4,0.1556995655091222,0.3111717023767327
0.5434353918007265,0.6198754540736897,random,5,-0.1616350413853838,0.11227125331159848
0.4722106901920083,0.5086533471717696,random,6,-0.03094867413144889,0.2265749887585366
0.35433316035288015,0.48207057602490916,random,7,0.22410387019275696,0.3981038297781528
0.6017384535547483,0.6313829787234042,random,8,-0.10047674119581254,0.13376914755163824
0.185806953814219,0.3556175402179554,random,9,-0.02399265179186529,0.25265908444156937
0.5028801245459263,0.5906979761286975,random,10,-0.23190614092827647,0.020712969289967412
0.3092890503373119,0.3720420342501297,random,11,0.02142999101586111,0.34237652438736516
