model,alphabet,n_sequences,reference,reference_delta,intervention,probes,expect,preserves,destroys,n,mean_delta,ci_lo,ci_hi,se,boot_lo,boot_hi,real_higher,ties,binom_p,ratio_to_reference,verdict,passed
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,dna,24,mononucleotide shuffle,0.42124462499999993,synonymous recode,codon-level surface form,no_preference,protein_identity;reading_frame;length;strand,codon_usage;codon_adjacency;nucleotide_composition;dinucleotide_composition;kmer_composition,24,0.3926908333333335,0.2413000713195872,0.5440815953470798,0.07318309702744055,0.26406858125000016,0.5409300989583331,22,0,3.5881996154785156e-05,0.9322156533945889,SENSITIVE,False
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,dna,24,mononucleotide shuffle,0.42124462499999993,codon-order shuffle,codon context,real_higher,codon_usage;reading_frame;nucleotide_composition;length;strand,protein_identity;codon_adjacency;dinucleotide_composition;kmer_composition,24,0.38682766666666657,0.2182770156750638,0.5553783176582694,0.08147827834063422,0.23129686562499996,0.5428579822916664,20,0,0.001543879508972168,0.9182969792591814,REPRESENTS,True
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,dna,24,mononucleotide shuffle,0.42124462499999993,frameshift +1,reading_frame,real_higher,nucleotide_composition;dinucleotide_composition;kmer_composition;length;strand,reading_frame;protein_identity;codon_usage;codon_adjacency,24,0.05046774999999989,-0.07749990910268936,0.17843540910268915,0.06186024489153568,-0.06900461875000012,0.16778979999999988,13,0,0.8388197422027588,0.1198062764599071,NULL,False
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,dna,24,mononucleotide shuffle,0.42124462499999993,frameshift +2,reading_frame,real_higher,nucleotide_composition;dinucleotide_composition;kmer_composition;length;strand,reading_frame;protein_identity;codon_usage;codon_adjacency,24,-0.03890441666666655,-0.1653512743058387,0.0875424409725056,0.06112508140082058,-0.15830021770833305,0.07715208645833327,11,0,0.8388197422027588,-0.0923558767465972,NULL,False
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,dna,24,mononucleotide shuffle,0.42124462499999993,reverse complement,strand,real_higher,length,strand;protein_identity;reading_frame;codon_usage;codon_adjacency,24,-0.03752154166666662,-0.16900950723859254,0.09396642390525928,0.06356197970334065,-0.15932626562499982,0.08924981354166646,10,0,0.5412561893463135,-0.08907304554133273,NULL,False
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,dna,24,mononucleotide shuffle,0.42124462499999993,dinucleotide shuffle,structure above dinucleotide,real_higher,nucleotide_composition;dinucleotide_composition;length,protein_identity;reading_frame;codon_usage;codon_adjacency;kmer_composition,24,0.41490304166666675,0.19176474647849848,0.638041336854835,0.10786623496756446,0.21468299895833332,0.6282645354166666,19,0,0.006610751152038574,0.9849456041526151,REPRESENTS,True
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,dna,24,mononucleotide shuffle,0.42124462499999993,mononucleotide shuffle,structure above base composition,real_higher,nucleotide_composition;length,protein_identity;reading_frame;codon_usage;codon_adjacency;dinucleotide_composition;kmer_composition,24,0.42124462499999993,0.21038944376549235,0.6320998062345076,0.101928512557605,0.24138991979166657,0.6347529499999998,22,0,3.5881996154785156e-05,1.0,REPRESENTS,True
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,dna,24,mononucleotide shuffle,0.42124462499999993,stop in frame,premature termination,real_higher,reading_frame;length;strand,protein_identity,24,0.04514791666666662,0.014953269174686975,0.07534256415864626,0.014596252688881152,0.019492291666666522,0.075219046875,20,0,0.001543879508972168,0.10717743084951323,REPRESENTS,True
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,dna,24,mononucleotide shuffle,0.42124462499999993,stop out of frame,matched control for premature termination,real_higher,reading_frame;length;strand;protein_identity,codon_usage,24,0.02668091666666657,-0.013268123764668984,0.06662995709800212,0.019311577953310736,-0.010824455208333387,0.06446415208333307,17,0,0.06391465663909912,0.06333829581010458,NULL,False
