order,ll_periodic,ll_nonperiodic,gap
0,-1.3683861677796971,-1.3834631960161217,0.015077028236424539
1,-1.3550603332329043,-1.371502617386218,0.016442284153313613
2,-1.3479983577508199,-1.3675366239869948,0.01953826623617494
3,-1.355608645605489,-1.369135794015471,0.013527148409981926
4,-1.3892169830534733,-1.3859354336168284,-0.003281549436644937
5,-1.4234156785673413,-1.423633204911466,0.0002175263441246411
