auc,auc_hi,auc_lo,baseline_auc,flank,model,rho_off,rho_on,tokens,total_nt,upstream
0.5051634665282823,0.5610098945219321,0.44499720062152853,0.6641152049818371,0,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-0.07891798125072531,-0.0980087738658889,47,282,0
0.5110015568240789,0.5694206556724183,0.45318945840874536,0.6641152049818371,60,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-0.08916124788747942,-0.08954162095648073,67,402,60
0.4921639854696419,0.5515133378396773,0.4335297670412151,0.6641152049818371,300,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-0.1487035527275488,-0.1743670941639968,147,882,300
0.3789050337311884,0.43277608766073716,0.3253854015211985,0.6641152049818371,1200,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-0.03990271830475441,-0.14113526579027363,447,2682,1200
0.3651790347690711,0.42099267215250646,0.3105210817977925,0.6641152049818371,3000,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-0.043526280541144026,-0.10575982147498504,1047,6282,3000
0.4097560975609756,0.46767990778340074,0.35375931025765134,0.6641152049818371,5400,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-0.07875615620248418,-0.14443611027043826,1847,11082,5400
