model,task,split,config,train_cv_auc
HyenaDNA-small-32k,enhancers,random,L3_mean,0.7860245390396644
HyenaDNA-small-32k,enhancers,random,L3_max,0.7539888033938609
HyenaDNA-small-32k,enhancers,random,L3_last,0.672564517890197
HyenaDNA-small-32k,enhancers,random,L4_mean,0.7872424900645963
HyenaDNA-small-32k,enhancers,random,L4_max,0.761324751448508
HyenaDNA-small-32k,enhancers,random,L4_last,0.6956522282226695
HyenaDNA-small-32k,splice_sites_all,shipped,L2_mean,0.6936851211092699
HyenaDNA-small-32k,splice_sites_all,shipped,L2_max,0.6496111728895072
HyenaDNA-small-32k,splice_sites_all,shipped,L2_last,0.59003011927202
HyenaDNA-small-32k,splice_sites_all,shipped,L3_mean,0.6988858623771521
HyenaDNA-small-32k,splice_sites_all,shipped,L3_max,0.6570036544921014
HyenaDNA-small-32k,splice_sites_all,shipped,L3_last,0.595345855838155
HyenaDNA-small-32k,splice_sites_all,shipped,L4_mean,0.7000845209016906
HyenaDNA-small-32k,splice_sites_all,shipped,L4_max,0.657896919082718
HyenaDNA-small-32k,splice_sites_all,shipped,L4_last,0.6180106674529112
HyenaDNA-small-32k,splice_sites_all,cluster,L2_mean,0.6873674728275105
HyenaDNA-small-32k,splice_sites_all,cluster,L2_max,0.6535444669032503
HyenaDNA-small-32k,splice_sites_all,cluster,L2_last,0.5821411063909142
HyenaDNA-small-32k,splice_sites_all,cluster,L3_mean,0.6895776943817612
HyenaDNA-small-32k,splice_sites_all,cluster,L3_max,0.648653125351029
HyenaDNA-small-32k,splice_sites_all,cluster,L3_last,0.5868338492709855
HyenaDNA-small-32k,splice_sites_all,cluster,L4_mean,0.6872360193284103
HyenaDNA-small-32k,splice_sites_all,cluster,L4_max,0.6601076489300083
HyenaDNA-small-32k,splice_sites_all,cluster,L4_last,0.6130784817668399
HyenaDNA-small-32k,splice_sites_all,random,L2_mean,0.6944677845232213
HyenaDNA-small-32k,splice_sites_all,random,L2_max,0.6542453204544799
HyenaDNA-small-32k,splice_sites_all,random,L2_last,0.586080046134546
HyenaDNA-small-32k,splice_sites_all,random,L3_mean,0.6981255769398226
HyenaDNA-small-32k,splice_sites_all,random,L3_max,0.6601104808889672
HyenaDNA-small-32k,splice_sites_all,random,L3_last,0.5976698058198571
HyenaDNA-small-32k,splice_sites_all,random,L4_mean,0.6989197284707819
HyenaDNA-small-32k,splice_sites_all,random,L4_max,0.6642803847476674
HyenaDNA-small-32k,splice_sites_all,random,L4_last,0.6150565394354884
HyenaDNA-small-32k,H3K4me3,shipped,L2_mean,0.8990017952825203
HyenaDNA-small-32k,H3K4me3,shipped,L2_max,0.8539070247987608
HyenaDNA-small-32k,H3K4me3,shipped,L2_last,0.7388999903580288
HyenaDNA-small-32k,H3K4me3,shipped,L3_mean,0.8986333098192437
HyenaDNA-small-32k,H3K4me3,shipped,L3_max,0.852768555853355
HyenaDNA-small-32k,H3K4me3,shipped,L3_last,0.7350267596895615
HyenaDNA-small-32k,H3K4me3,shipped,L4_mean,0.8961490352879778
HyenaDNA-small-32k,H3K4me3,shipped,L4_max,0.8589017466692882
HyenaDNA-small-32k,H3K4me3,shipped,L4_last,0.7655447226615353
HyenaDNA-small-32k,H3K4me3,cluster,L2_mean,0.898805348047139
HyenaDNA-small-32k,H3K4me3,cluster,L2_max,0.8538342106747083
HyenaDNA-small-32k,H3K4me3,cluster,L2_last,0.7482371123705905
HyenaDNA-small-32k,H3K4me3,cluster,L3_mean,0.8990822270618702
HyenaDNA-small-32k,H3K4me3,cluster,L3_max,0.8578085604878464
HyenaDNA-small-32k,H3K4me3,cluster,L3_last,0.7379475809092629
HyenaDNA-small-32k,H3K4me3,cluster,L4_mean,0.8970971004663782
