auc,coverage,coverage_top10,coverage_top100,coverage_top50,decision_flips,local_escape_rate,max_abs_diff,n_escape,pearson_vs_ref,precision,spearman_vs_ref,threshold,viable_flips
0.8038243300634256,0.07703081232492998,0.1,0.18,0.14,,0.995,,659,,fp32,,1.3973485231399536,
0.8043864107366228,0.07563025210084033,0.1,0.18,0.14,3,0.995,0.039446353912353516,660,0.9999967842567652,fp16,0.9999956118868419,1.391845703125,1
0.8031329847597697,0.07142857142857142,0.1,0.17,0.12,11,0.995,0.28100156784057617,663,0.9997470677733792,bf16,0.9997354637829191,1.4257816076278687,6
0.8091624719481828,0.08263305322128851,0.2,0.19,0.14,30,0.995,1.196707010269165,655,0.9960124464433905,int8-dynamic,0.995893720695189,1.1445130109786987,10
