scorer,key,n_assays,mean_assay,lo_assay,hi_assay,positive_assays,n_clusters,mean_cluster,lo_cluster,hi_cluster,positive_clusters
ESM-2 650M likelihood,rho_esm,25,0.4654540345205644,0.3912777932272211,0.5396302758139077,25,21,0.44235826715608245,0.36031358244724576,0.5244029518649191,21
NT-v2 50M likelihood,rho_nt,25,-0.013210855456401348,-0.03437058275768225,0.007948871844879548,10,21,-0.011672063237482044,-0.034302939512647686,0.010958813037683597,9
NT-v2 codon-marginalised,rho_nt_codon_marginalised,25,-0.018496566332773117,-0.0424974305587819,0.005504297893235668,11,21,-0.017428572607675177,-0.041901066563462507,0.007043921348112152,9
BLOSUM62 substitution score,rho_blosum62,25,0.22820412634415635,0.19324603118745962,0.2631622215008531,24,21,0.2183485496765174,0.17960100836998127,0.2570960909830535,20
signed Kyte-Doolittle change,rho_d_hydropathy,25,0.1754160251985722,0.141722179440268,0.2091098709568764,25,21,0.1728075630473855,0.13663120092648096,0.20898392516829006,21
signed residue-volume change,rho_d_volume,25,0.027715165157941354,0.0021781089999134036,0.05325222131596931,16,21,0.026394613553893498,-0.0014053529685363018,0.0541945800763233,14
-|hydropathy change|,rho_abs_d_hydropathy,25,0.14013229766005764,0.11463064533425812,0.16563394998585715,24,21,0.13478451183716475,0.10596870177711187,0.16360032189721763,20
-|volume change|,rho_abs_d_volume,25,0.10655502774960857,0.0857141579775256,0.12739589752169153,24,21,0.09996070285899568,0.07707249974226058,0.12284890597573078,20
"chem ridge, leave-one-cluster-out",rho_chem_locco,25,0.28596245348663624,0.24548364343573936,0.3264412635375331,24,21,0.27617569642823775,0.23112348205011146,0.32122791080636404,20
