ci,condition,mean_delta_vs_real,mean_score,n,real_higher
,real,,-9.058766478956139,,
0.14855089543778585,synonymous recode,0.23344872488238727,-9.292215203838527,29,20
0.1263641988459311,codon-order shuffle,0.32180981579769863,-9.380576294753839,29,24
0.10424961213194156,frameshift +1,0.026448874273528274,-9.08521535322967,29,14
0.10986171854015415,reverse complement,-0.06434785070491729,-8.994418628251223,29,11
