model,alphabet,n_sequences,reference,reference_delta,intervention,probes,expect,preserves,destroys,n,mean_delta,ci_lo,ci_hi,se,boot_lo,boot_hi,real_higher,ties,binom_p,ratio_to_reference,verdict,passed
markov-order-2-periodic-1,dna,24,mononucleotide shuffle,0.03910700675054047,synonymous recode,codon-level surface form,no_preference,protein_identity;reading_frame;length;strand,codon_usage;codon_adjacency;nucleotide_composition;dinucleotide_composition;kmer_composition,24,0.03319662049045499,0.023224143993485876,0.043169096987424105,0.004820748012453322,0.023523164219691528,0.041941878876719955,21,0,0.0002771615982055664,0.8488663093601815,SENSITIVE,False
markov-order-2-periodic-1,dna,24,mononucleotide shuffle,0.03910700675054047,codon-order shuffle,codon context,real_higher,codon_usage;reading_frame;nucleotide_composition;length;strand,protein_identity;codon_adjacency;dinucleotide_composition;kmer_composition,24,0.014042915962000885,0.008809624782510015,0.019276207141491752,0.0025298007029435107,0.009123515400049053,0.018786138909218597,20,0,0.001543879508972168,0.35908951179974435,REPRESENTS,True
markov-order-2-periodic-1,dna,24,mononucleotide shuffle,0.03910700675054047,frameshift +1,reading_frame,real_higher,nucleotide_composition;dinucleotide_composition;kmer_composition;length;strand,reading_frame;protein_identity;codon_usage;codon_adjacency,24,-7.971174142523685e-05,-0.0001526689169910519,-6.754565859421789e-06,3.526788548561672e-05,-0.00015135690093313406,-1.5768222044757166e-05,10,0,0.5412561893463135,-0.0020382981989317097,INVERTED,False
markov-order-2-periodic-1,dna,24,mononucleotide shuffle,0.03910700675054047,frameshift +2,reading_frame,real_higher,nucleotide_composition;dinucleotide_composition;kmer_composition;length;strand,reading_frame;protein_identity;codon_usage;codon_adjacency,24,0.0003184328019710618,9.834213510177405e-05,0.0005385234688403495,0.00010639299527976925,9.426076020802402e-05,0.0005038704699596699,21,0,0.0002771615982055664,0.008142602270797954,REPRESENTS,True
markov-order-2-periodic-1,dna,24,mononucleotide shuffle,0.03910700675054047,reverse complement,strand,real_higher,length,strand;protein_identity;reading_frame;codon_usage;codon_adjacency,24,0.020971756607848818,0.016024697520804588,0.025918815694893047,0.0023914345918594816,0.016443443672583206,0.02564657147371208,23,0,2.9802322387695312e-06,0.5362659623024967,REPRESENTS,True
markov-order-2-periodic-1,dna,24,mononucleotide shuffle,0.03910700675054047,dinucleotide shuffle,structure above dinucleotide,real_higher,nucleotide_composition;dinucleotide_composition;length,protein_identity;reading_frame;codon_usage;codon_adjacency;kmer_composition,24,0.007211515927835338,0.0043931347645662245,0.010029897091104452,0.0013624203973100159,0.004630291068359538,0.009799057043619533,21,0,0.0002771615982055664,0.18440470204832726,REPRESENTS,True
markov-order-2-periodic-1,dna,24,mononucleotide shuffle,0.03910700675054047,mononucleotide shuffle,structure above base composition,real_higher,nucleotide_composition;length,protein_identity;reading_frame;codon_usage;codon_adjacency;dinucleotide_composition;kmer_composition,24,0.03910700675054047,0.031726440737027725,0.046487572764053214,0.003567804742506608,0.032148841525959496,0.045694651523771314,23,0,2.9802322387695312e-06,1.0,REPRESENTS,True
markov-order-2-periodic-1,dna,24,mononucleotide shuffle,0.03910700675054047,stop in frame,premature termination,real_higher,reading_frame;length;strand,protein_identity,24,0.0007718380917891102,0.00014753993023144745,0.001396136253346773,0.00030178904131005505,0.00018995622350806196,0.0013602955597070748,18,0,0.022655844688415527,0.019736567840964798,REPRESENTS,True
markov-order-2-periodic-1,dna,24,mononucleotide shuffle,0.03910700675054047,stop out of frame,matched control for premature termination,real_higher,reading_frame;length;strand;protein_identity,codon_usage,24,0.000984006142188761,0.00041977032452397613,0.0015482419598535457,0.00027275458582320787,0.0005063468910442453,0.0015517519539573821,21,0,0.0002771615982055664,0.025161888468366648,REPRESENTS,True
