auc_max,auc_min,flank_max,flank_min,mode,n_points,scorer,transform,trend_rho,trend_rho_matched_flanks
0.3845355474831344,0.3845355474831344,5760,0,direct,10,markov5,real,nan,nan
0.3845355474831344,0.3845355474831344,40320,1440,recursive,12,markov5,real,nan,nan
0.3845355474831344,0.3845355474831344,5760,1440,direct,4,markov5,shuffle_mono,nan,nan
0.3845355474831344,0.3845355474831344,40320,1440,recursive,12,markov5,shuffle_mono,nan,nan
0.3845355474831344,0.3845355474831344,5760,1440,direct,4,markov5,shuffle_dinuc,nan,nan
0.3845355474831344,0.3845355474831344,40320,1440,recursive,12,markov5,shuffle_dinuc,nan,nan
0.5110015568240789,0.36022314478463935,5760,0,direct,10,nt_v2_50m,real,-0.43030303030303024,0.7999999999999999
0.3730669434353918,0.29932537623248573,40320,1440,recursive,12,nt_v2_50m,real,-0.5804195804195805,-1.0
0.40998962117280746,0.31725480020757657,5760,1440,direct,4,nt_v2_50m,shuffle_mono,-0.19999999999999998,-0.19999999999999998
0.3833938764919564,0.3249091852620654,40320,1440,recursive,12,nt_v2_50m,shuffle_mono,-0.8181818181818183,0.7999999999999999
0.419330565646082,0.2885313959522574,5760,1440,direct,4,nt_v2_50m,shuffle_dinuc,0.39999999999999997,0.39999999999999997
0.3762065386611313,0.3201868188894655,40320,1440,recursive,12,nt_v2_50m,shuffle_dinuc,-0.3216783216783217,0.39999999999999997
