model,params_M,mode,auc_specific_vs_promiscuous,auc_lo,auc_hi,rho_on_target,rho_off_target,rho_margin,msa_rows
genbio-ai/AIDO.Protein-RAG-3B,3000,partner_blind,0.2120653866113129,0.1686249748690191,0.2560887373874607,0.5880134331229353,0.5396362025745948,0.02560505639079753,0
genbio-ai/AIDO.Protein-RAG-3B,3000,partner_aware_ParE3,0.21580176440062274,0.17188100116192548,0.2613550583026569,0.590582666679767,0.5336255981021623,0.033254596811926204,0
genbio-ai/AIDO.Protein-RAG-3B,3000,partner_aware_ParE2,0.1899844317592112,0.148493174185304,0.2335760431001395,0.6012477396912103,0.5561418306997304,0.022263255188893032,0
genbio-ai/AIDO.Protein-RAG-3B,3000,partner_blind_RAG,0.1995329527763363,0.15701154588612568,0.24371401014510852,0.5664621485846878,0.5570239609589664,-0.008397915226337996,20
genbio-ai/AIDO.Protein-RAG-3B,3000,partner_aware_margin,0.6980799169693824,0.6456632331405333,0.7470036024950163,-0.12204000578558957,-0.26374750720756446,0.13029134458332506,0
