task,split,features,family,model,config,layer,pooling,selected,train_cv_auc,n_train,n_test,n_features,orient,C,auc_lo,auc_hi,auc,mcc,tpr@1,clustercov@1,missrun@1,tpr@10,clustercov@10,missrun@10
promoter_all,shipped,NT-v2-50M:L6_mean,model,NT-v2-50M,L6_mean,6,mean,,0.9319109073223192,8000,1571,512,fwd,0.003,0.9193088862692756,0.9464541920188335,0.9330597372959376,0.7148506703611797,0.5416666666666666,0.6731517509727627,9,0.8143939393939394,0.8754863813229572,5
promoter_all,shipped,NT-v2-50M:L6_mean,model,NT-v2-50M,L6_mean,6,mean,,0.9319109073223192,8000,1571,512,rc,0.003,,,0.921245510301993,0.6842958306299693,0.523989898989899,0.6536964980544747,9,0.7840909090909091,0.8618677042801557,5
promoter_all,shipped,NT-v2-50M:L6_max,model,NT-v2-50M,L6_max,6,max,,0.9196299763076604,8000,1571,512,fwd,0.003,0.907930452421022,0.9358943863845103,0.9214464931730657,0.6893883039185044,0.4898989898989899,0.6284046692607004,9,0.7714646464646465,0.8501945525291829,5
promoter_all,shipped,NT-v2-50M:L6_max,model,NT-v2-50M,L6_max,6,max,,0.9196299763076604,8000,1571,512,rc,0.003,,,0.9122126269109581,0.6562872275430265,0.44823232323232326,0.566147859922179,10,0.7588383838383839,0.8463035019455253,5
promoter_all,shipped,NT-v2-50M:L6_cls,model,NT-v2-50M,L6_cls,6,cls,cv,0.9348769027346083,8000,1571,512,fwd,0.003,0.924992264293268,0.9506926825264674,0.9375542977917818,0.7148506703611797,0.5113636363636364,0.6400778210116731,9,0.8005050505050505,0.8715953307392996,4
promoter_all,shipped,NT-v2-50M:L6_cls,model,NT-v2-50M,L6_cls,6,cls,cv,0.9348769027346083,8000,1571,512,rc,0.003,,,0.895388415606644,0.6333710977446189,0.4356060606060606,0.5642023346303502,10,0.7512626262626263,0.8365758754863813,5
promoter_all,shipped,NT-v2-50M:L9_mean,model,NT-v2-50M,L9_mean,9,mean,,0.9344640801749247,8000,1571,512,fwd,0.003,0.9203369615736248,0.9486174272324356,0.9348523748395379,0.7097581970726445,0.5454545454545454,0.6770428015564203,9,0.8017676767676768,0.8696498054474708,5
promoter_all,shipped,NT-v2-50M:L9_mean,model,NT-v2-50M,L9_mean,9,mean,,0.9344640801749247,8000,1571,512,rc,0.003,,,0.9086808392007366,0.6511947542544915,0.5113636363636364,0.6439688715953308,9,0.7563131313131313,0.8404669260700389,4
promoter_all,shipped,NT-v2-50M:L9_max,model,NT-v2-50M,L9_max,9,max,,0.9210231314286251,8000,1571,512,fwd,0.003,0.9100376270424949,0.9399109070486126,0.9240965495779361,0.6741108840528992,0.4633838383838384,0.5953307392996109,9,0.7891414141414141,0.857976653696498,6
promoter_all,shipped,NT-v2-50M:L9_max,model,NT-v2-50M,L9_max,9,max,,0.9210231314286251,8000,1571,512,rc,0.003,,,0.90335803477652,0.6435560443216889,0.46464646464646464,0.5914396887159533,11,0.7171717171717171,0.8171206225680934,6
promoter_all,shipped,NT-v2-50M:L9_cls,model,NT-v2-50M,L9_cls,9,cls,,0.9319013415574352,8000,1571,512,fwd,0.003,0.9217941183372488,0.946896468099632,0.9334487364012396,0.7123044337169121,0.5,0.6284046692607004,10,0.7992424242424242,0.8638132295719845,4
promoter_all,shipped,NT-v2-50M:L9_cls,model,NT-v2-50M,L9_cls,9,cls,,0.9319013415574352,8000,1571,512,rc,0.003,,,0.8879536702065585,0.6180936778790137,0.4053030303030303,0.5350194552529183,14,0.7209595959595959,0.8229571984435797,4
promoter_all,shipped,NT-v2-50M:L12_mean,model,NT-v2-50M,L12_mean,12,mean,default,0.9300897115753429,8000,1571,512,fwd,0.003,0.9133777620613863,0.9439187103613328,0.9297321741159996,0.7173969070054471,0.5050505050505051,0.6478599221789884,9,0.7803030303030303,0.8540856031128404,7
promoter_all,shipped,NT-v2-50M:L12_mean,model,NT-v2-50M,L12_mean,12,mean,default,0.9300897115753429,8000,1571,512,rc,0.003,,,0.911640474060243,0.6741108840528992,0.45707070707070707,0.585603112840467,9,0.7651515151515151,0.8443579766536965,5
promoter_all,shipped,NT-v2-50M:L12_max,model,NT-v2-50M,L12_max,12,max,,0.9090859308919056,8000,1571,512,fwd,0.003,0.8961354968537524,0.9289129840925284,0.9117960737023638,0.6639259374758291,0.4393939393939394,0.5797665369649806,16,0.7436868686868687,0.8229571984435797,7
promoter_all,shipped,NT-v2-50M:L12_max,model,NT-v2-50M,L12_max,12,max,,0.9090859308919056,8000,1571,512,rc,0.003,,,0.8984420585832653,0.6333710977446189,0.38257575757575757,0.5077821011673151,13,0.7424242424242424,0.8287937743190662,5
promoter_all,shipped,NT-v2-50M:L12_cls,model,NT-v2-50M,L12_cls,12,cls,,0.918538023051603,8000,1571,512,fwd,0.003,0.908446992986055,0.9344094244316679,0.9208289570933988,0.6817495939857018,0.41035353535353536,0.5369649805447471,15,0.797979797979798,0.8657587548638133,4
promoter_all,shipped,NT-v2-50M:L12_cls,model,NT-v2-50M,L12_cls,12,cls,,0.918538023051603,8000,1571,512,rc,0.003,,,0.8832224685883223,0.605362494657676,0.3434343434343434,0.46108949416342415,23,0.702020202020202,0.7996108949416343,7
promoter_all,cluster,NT-v2-50M:L6_mean,model,NT-v2-50M,L6_mean,6,mean,,0.929908136139095,8000,1571,512,fwd,0.003,0.920092777205811,0.9468122750536109,0.9334056181159279,0.7008332158388987,0.6641123882503193,0.7269439421338155,5,0.8148148148148148,0.840867992766727,3
promoter_all,cluster,NT-v2-50M:L6_mean,model,NT-v2-50M,L6_mean,6,mean,,0.929908136139095,8000,1571,512,rc,0.003,,,0.92260017763256,0.7033793782001339,0.6347381864623244,0.7070524412296564,6,0.8212005108556832,0.8535262206148282,3
promoter_all,cluster,NT-v2-50M:L6_max,model,NT-v2-50M,L6_max,6,max,,0.9189503426871887,8000,1571,512,fwd,0.003,0.9100915592768537,0.9383409691999914,0.9236455517306209,0.675371592226548,0.6245210727969349,0.6943942133815552,9,0.7879948914431673,0.8191681735985533,4
promoter_all,cluster,NT-v2-50M:L6_max,model,NT-v2-50M,L6_max,6,max,,0.9189503426871887,8000,1571,512,rc,0.003,,,0.9148530641616586,0.6906485663939584,0.6002554278416348,0.6690777576853526,7,0.7905491698595147,0.8282097649186256,3
promoter_all,cluster,NT-v2-50M:L6_cls,model,NT-v2-50M,L6_cls,6,cls,cv,0.9318696382125142,8000,1571,512,fwd,0.003,0.9200631527714022,0.9477368140710458,0.9343472651717006,0.7008332158388987,0.6398467432950191,0.7160940325497287,5,0.8160919540229885,0.8499095840867993,4
promoter_all,cluster,NT-v2-50M:L6_cls,model,NT-v2-50M,L6_cls,6,cls,cv,0.9318696382125142,8000,1571,512,rc,0.003,,,0.9034528139201691,0.6550022933366674,0.558109833971903,0.6329113924050633,6,0.7739463601532567,0.8155515370705244,4
promoter_all,cluster,NT-v2-50M:L9_mean,model,NT-v2-50M,L9_mean,9,mean,,0.931133065285235,8000,1571,512,fwd,0.003,0.9219835010384382,0.9485295676042921,0.9348351064174624,0.711017865283839,0.6219667943805874,0.6925858951175407,6,0.8122605363984674,0.8444846292947559,3
promoter_all,cluster,NT-v2-50M:L9_mean,model,NT-v2-50M,L9_mean,9,mean,,0.931133065285235,8000,1571,512,rc,0.003,,,0.9143522570356107,0.6830100793102533,0.6155810983397191,0.6925858951175407,6,0.7969348659003831,0.8282097649186256,3
promoter_all,cluster,NT-v2-50M:L9_max,model,NT-v2-50M,L9_max,9,max,,0.9218557655798182,8000,1571,512,fwd,0.003,0.9110404803594946,0.9351372177072009,0.9234964441073314,0.6830100793102533,0.5913154533844189,0.6799276672694394,7,0.8007662835249042,0.8372513562386981,4
promoter_all,cluster,NT-v2-50M:L9_max,model,NT-v2-50M,L9_max,9,max,,0.9218557655798182,8000,1571,512,rc,0.003,,,0.9030038703152653,0.6499099686141973,0.5644955300127714,0.6365280289330922,7,0.7867177522349936,0.8245931283905967,3
promoter_all,cluster,NT-v2-50M:L9_cls,model,NT-v2-50M,L9_cls,9,cls,,0.9289213443195524,8000,1571,512,fwd,0.003,0.9185081687688124,0.9456564603166183,0.9327719107169483,0.7059255405613689,0.6257982120051085,0.6998191681735986,6,0.8084291187739464,0.8426763110307414,3
promoter_all,cluster,NT-v2-50M:L9_cls,model,NT-v2-50M,L9_cls,9,cls,,0.9289213443195524,8000,1571,512,rc,0.003,,,0.9054284899287525,0.6524561309754323,0.5172413793103449,0.5949367088607594,6,0.7828863346104725,0.8209764918625678,3
promoter_all,cluster,NT-v2-50M:L12_mean,model,NT-v2-50M,L12_mean,12,mean,default,0.9271770857472226,8000,1571,512,fwd,0.003,0.9179510409810134,0.9451180478868942,0.9307022320762912,0.6957408911164286,0.6385696040868455,0.7106690777576854,6,0.8160919540229885,0.8444846292947559,3
promoter_all,cluster,NT-v2-50M:L12_mean,model,NT-v2-50M,L12_mean,12,mean,default,0.9271770857472226,8000,1571,512,rc,0.003,,,0.9149567912039467,0.6957408911164286,0.5874840357598978,0.6600361663652803,7,0.7956577266922095,0.8300180831826401,3
promoter_all,cluster,NT-v2-50M:L12_max,model,NT-v2-50M,L12_max,12,max,,0.9074331507272694,8000,1571,512,fwd,0.003,0.8984517312152001,0.9269221522090887,0.9128871125632897,0.6651869427816077,0.524904214559387,0.6130198915009042,11,0.7662835249042146,0.7974683544303798,4
promoter_all,cluster,NT-v2-50M:L12_max,model,NT-v2-50M,L12_max,12,max,,0.9074331507272694,8000,1571,512,rc,0.003,,,0.907763969115273,0.6677331051428428,0.5134099616858238,0.5877034358047016,7,0.7931034482758621,0.8245931283905967,4
promoter_all,cluster,NT-v2-50M:L12_cls,model,NT-v2-50M,L12_cls,12,cls,,0.9162786760450023,8000,1571,512,fwd,0.003,0.909854770024396,0.9395171890940336,0.925130145023371,0.6931947287551935,0.5977011494252874,0.6708860759493671,11,0.7982120051085568,0.8354430379746836,4
promoter_all,cluster,NT-v2-50M:L12_cls,model,NT-v2-50M,L12_cls,12,cls,,0.9162786760450023,8000,1571,512,rc,0.003,,,0.8994317702964648,0.6473638062529622,0.5185185185185185,0.596745027124774,7,0.7637292464878672,0.8065099457504521,4
promoter_all,random,NT-v2-50M:L6_mean,model,NT-v2-50M,L6_mean,6,mean,,0.9314726328219111,8000,1571,512,fwd,0.003,0.9266521657354471,0.9509761140429229,0.9389772985612679,0.7091784003486322,0.6378162450066578,0.6492434662998624,6,0.8162450066577897,0.8225584594222833,4
promoter_all,random,NT-v2-50M:L6_mean,model,NT-v2-50M,L6_mean,6,mean,,0.9314726328219111,8000,1571,512,rc,0.003,,,0.9282468903250949,0.6862409205877061,0.6191744340878829,0.6327372764786795,6,0.7989347536617842,0.8060522696011004,4
promoter_all,random,NT-v2-50M:L6_max,model,NT-v2-50M,L6_max,6,max,,0.9172471219918116,8000,1571,512,fwd,0.003,0.9154262586190034,0.9404103908472721,0.9285359358254034,0.6760464851384056,0.6284953395472703,0.6396148555708391,6,0.7869507323568575,0.7950481430536451,5
