task,reward,seed,batches,final,n,mean_score,specificity_regret,crosstalk_rate,success_rate,mean_on_target,mean_off_target,reward_achieved
cognate,affinity,4,25,0,60,0.4649663966666667,0.6531874213333332,0.4,0.6,0.9317589981333333,0.4667926014666666,0.9317589981333333
cognate,affinity,4,50,0,60,0.4143541073833334,0.7037997106166665,0.55,0.4166666666666667,0.9435118751333333,0.5291577677499999,0.9435118751333333
cognate,affinity,4,75,0,60,0.49198230218333333,0.6261715158166665,0.36666666666666664,0.6,0.9237304345833335,0.4317481324,0.9237304345833335
cognate,affinity,4,100,0,60,0.43321271880000006,0.6849410991999998,0.5,0.4166666666666667,0.9311135235666668,0.4979008047666667,0.9311135235666668
cognate,affinity,4,125,0,60,0.5478205889500001,0.5703332290499998,0.21666666666666667,0.7666666666666667,0.9517135501666668,0.4038929612166667,0.9517135501666668
cognate,affinity,4,150,0,60,0.53007603615,0.5880777818499999,0.3333333333333333,0.6166666666666667,0.9361801255499999,0.4061040894,0.9361801255499999
cognate,affinity,4,0,1,200,0.5216325766250001,0.5965212413749998,0.33,0.62,0.91950695465,0.3978743780249999,0.91950695465
cognate,affinity,4,150,1,200,0.47928038228500003,0.6388734357149999,0.375,0.57,0.92933397696,0.450053594675,0.92933397696
cognate,affinity,5,0,0,60,0.4784075735833333,0.6397462444166666,0.35,0.6166666666666667,0.9179171703666668,0.43950959678333323,0.9179171703666668
cognate,affinity,5,25,0,60,0.4142166869833333,0.7039371310166667,0.45,0.48333333333333334,0.9153293165333334,0.50111262955,0.9153293165333334
cognate,affinity,5,50,0,60,0.4459331373666666,0.6722206806333333,0.4,0.5333333333333333,0.9205413748000001,0.47460823743333336,0.9205413748000001
cognate,affinity,5,75,0,60,0.44150674358333336,0.6766470744166666,0.4166666666666667,0.5333333333333333,0.9218825689833333,0.4803758254,0.9218825689833333
cognate,affinity,5,100,0,60,0.4138258766666667,0.7043279413333332,0.45,0.5,0.9126116489166666,0.4987857722499999,0.9126116489166666
cognate,affinity,5,125,0,60,0.40077132545,0.7173824925499999,0.5166666666666667,0.43333333333333335,0.92810737285,0.5273360474,0.92810737285
cognate,affinity,5,150,0,60,0.5053760352,0.6127777828,0.31666666666666665,0.6333333333333333,0.9324873685166666,0.4271113333166666,0.9324873685166666
cognate,affinity,5,0,1,200,0.48438418256999993,0.63376963543,0.355,0.58,0.908920736085,0.424536553515,0.908920736085
cognate,affinity,5,150,1,200,0.49598519609,0.6221686219099999,0.32,0.62,0.92421859031,0.42823339421999995,0.92421859031
cognate,margin,0,0,0,60,0.7616004459166668,0.35655337208333315,0.0,0.6666666666666666,0.8452001538,0.08359970788333332,0.7616004459166668
cognate,margin,0,25,0,60,0.7887693179166665,0.3293845000833334,0.016666666666666666,0.8,0.8690408456833333,0.08027152776666667,0.7887693179166665
cognate,margin,0,50,0,60,0.8305781378833335,0.28757568011666645,0.0,0.7333333333333333,0.8562004313333333,0.025622293450000003,0.8305781378833335
cognate,margin,0,75,0,60,0.8413475079833336,0.27680631001666633,0.0,0.8166666666666667,0.8714072576166668,0.030059749633333334,0.8413475079833336
cognate,margin,0,100,0,60,0.85491908905,0.2632347289499999,0.0,0.8166666666666667,0.8726483885666667,0.017729299516666668,0.85491908905
cognate,margin,0,125,0,60,0.7904715096833335,0.32768230831666645,0.0,0.65,0.8331864437833333,0.04271493410000001,0.7904715096833335
cognate,margin,0,150,0,60,0.82783600625,0.29031781174999993,0.0,0.75,0.8571825601666667,0.02934655391666667,0.82783600625
cognate,margin,0,0,1,200,0.767570366495,0.3505834515049999,0.0,0.695,0.8384927307850001,0.07092236429,0.767570366495
cognate,margin,0,150,1,200,0.8360415236950002,0.28211229430499973,0.0,0.76,0.8557914959800001,0.019749972285,0.8360415236950002
cognate,margin,1,0,0,60,0.8395041524666668,0.27864966553333315,0.0,0.85,0.8846246178333335,0.045120465366666675,0.8395041524666668
cognate,margin,1,25,0,60,0.7998500996333332,0.3183037183666667,0.0,0.7333333333333333,0.8457836019666668,0.04593350233333334,0.7998500996333332
cognate,margin,1,50,0,60,0.8447851053833335,0.2733687126166664,0.0,0.7833333333333333,0.8789044418333333,0.03411933645,0.8447851053833335
cognate,margin,1,75,0,60,0.8381981247333332,0.2799556932666667,0.0,0.75,0.8739490932833333,0.035750968550000005,0.8381981247333332
cognate,margin,1,100,0,60,0.8398712422166668,0.27828257578333315,0.016666666666666666,0.8333333333333334,0.8937256591999999,0.05385441698333333,0.8398712422166668
cognate,margin,1,125,0,60,0.7702579747333334,0.34789584326666656,0.0,0.7666666666666667,0.8656741252,0.09541615046666665,0.7702579747333334
cognate,margin,1,150,0,60,0.8174841079166667,0.3006697100833332,0.0,0.75,0.8457327258833335,0.028248617966666664,0.8174841079166667
cognate,margin,1,0,1,200,0.74101018643,0.37714363156999986,0.005,0.675,0.812125638455,0.071115452025,0.74101018643
cognate,margin,1,150,1,200,0.84388605763,0.2742677603699999,0.0,0.815,0.87878546605,0.03489940842,0.84388605763
cognate,margin,2,0,0,60,0.7264794481500001,0.3916743698499998,0.0,0.65,0.8147571545166665,0.08827770636666667,0.7264794481500001
cognate,margin,2,25,0,60,0.8007900006,0.31736381739999986,0.0,0.7166666666666667,0.8576120976666668,0.05682209706666667,0.8007900006
cognate,margin,2,50,0,60,0.8024947666500001,0.31565905134999983,0.0,0.7166666666666667,0.8474730035666667,0.04497823691666667,0.8024947666500001
cognate,margin,2,75,0,60,0.8273919165833336,0.29076190141666636,0.0,0.7166666666666667,0.8702563628166666,0.04286444623333333,0.8273919165833336
cognate,margin,2,100,0,60,0.8063112983666668,0.3118425196333331,0.0,0.7833333333333333,0.8619113274666667,0.0556000291,0.8063112983666668
cognate,margin,2,125,0,60,0.7573380569833331,0.3608157610166668,0.0,0.65,0.81238017905,0.05504212206666668,0.7573380569833331
cognate,margin,2,150,0,60,0.8576350212666667,0.2605187967333332,0.0,0.8666666666666667,0.8887997100666668,0.0311646888,0.8576350212666667
cognate,margin,2,0,1,200,0.7706412158750001,0.3475126021249998,0.005,0.705,0.8384407904649999,0.06779957459000001,0.7706412158750001
cognate,margin,2,150,1,200,0.8282424592300001,0.28991135876999985,0.0,0.76,0.873293242715,0.045050783484999996,0.8282424592300001
cognate,margin,3,0,0,60,0.7617899272499999,0.35636389074999997,0.0,0.6166666666666667,0.7956334755833333,0.033843548333333334,0.7617899272499999
cognate,margin,3,25,0,60,0.7616206493166666,0.3565331686833333,0.0,0.7333333333333333,0.8381271883833334,0.07650653906666668,0.7616206493166666
cognate,margin,3,50,0,60,0.79881126705,0.31934255094999986,0.0,0.75,0.8540413140333334,0.05523004698333332,0.79881126705
cognate,margin,3,75,0,60,0.80060264235,0.3175511756499999,0.0,0.7666666666666667,0.8612851262333334,0.06068248388333332,0.80060264235
cognate,margin,3,100,0,60,0.8222240891333333,0.2959297288666666,0.0,0.7666666666666667,0.8607073865166667,0.03848329738333334,0.8222240891333333
cognate,margin,3,125,0,60,0.8334406737833333,0.2847131442166666,0.0,0.8166666666666667,0.8836816563500001,0.050240982566666655,0.8334406737833333
cognate,margin,3,150,0,60,0.8230804560166668,0.2950733619833331,0.0,0.7666666666666667,0.8607983976333332,0.03771794161666666,0.8230804560166668
cognate,margin,3,0,1,200,0.770715096365,0.3474387216349999,0.005,0.715,0.834586113875,0.06387101750999999,0.770715096365
cognate,margin,3,150,1,200,0.81737726334,0.30077655465999986,0.0,0.78,0.87217211637,0.05479485303,0.81737726334
cognate,margin,4,0,0,60,0.7478752318499999,0.37027858615,0.0,0.7333333333333333,0.8369898824333333,0.08911465058333332,0.7478752318499999
cognate,margin,4,25,0,60,0.7984498025000002,0.3197040154999997,0.0,0.75,0.8591756600666668,0.060725857566666666,0.7984498025000002
cognate,margin,4,50,0,60,0.7889116722333334,0.32924214576666655,0.0,0.7666666666666667,0.8472157319000001,0.058304059666666665,0.7889116722333334
cognate,margin,4,75,0,60,0.8239192862833332,0.2942345317166667,0.0,0.7333333333333333,0.8645678755166666,0.04064858923333333,0.8239192862833332
cognate,margin,4,100,0,60,0.7915254966,0.32662832139999987,0.0,0.75,0.8553150062333333,0.06378950963333334,0.7915254966
cognate,margin,4,125,0,60,0.8493655436666667,0.2687882743333332,0.0,0.8,0.8614086914833333,0.012043147816666667,0.8493655436666667
cognate,margin,4,150,0,60,0.8537885377500001,0.26436528024999983,0.0,0.8333333333333334,0.8733257406666669,0.019537202916666663,0.8537885377500001
cognate,margin,4,0,1,200,0.767281300385,0.35087251761499993,0.005,0.725,0.83599983367,0.068718533285,0.767281300385
cognate,margin,4,150,1,200,0.842487995735,0.2756658222649999,0.0,0.795,0.8773539582600001,0.034865962525,0.842487995735
cognate,margin,5,0,0,60,0.7850464957999999,0.33310732220000006,0.0,0.7333333333333333,0.8494655016833335,0.06441900588333332,0.7850464957999999
cognate,margin,5,25,0,60,0.8395337595333334,0.2786200584666665,0.0,0.8,0.8728316236,0.03329786406666666,0.8395337595333334
cognate,margin,5,50,0,60,0.8555026629833333,0.2626511550166666,0.0,0.85,0.8906576409833332,0.035154977999999996,0.8555026629833333
cognate,margin,5,75,0,60,0.8675014745499999,0.25065234345,0.0,0.8666666666666667,0.8938640836166665,0.026362609066666667,0.8675014745499999
cognate,margin,5,100,0,60,0.8368872985833333,0.2812665194166666,0.0,0.8333333333333334,0.8748572611000001,0.03796996251666667,0.8368872985833333
cognate,margin,5,125,0,60,0.7585923945833333,0.35956142341666664,0.0,0.6666666666666666,0.8218641343499999,0.06327173976666665,0.7585923945833333
cognate,margin,5,150,0,60,0.8462838283500002,0.27186998964999975,0.0,0.7833333333333333,0.8753542379833336,0.029070409633333336,0.8462838283500002
cognate,margin,5,0,1,200,0.77349125408,0.34466256391999994,0.0,0.72,0.8358039146550001,0.062312660575,0.77349125408
cognate,margin,5,150,1,200,0.8406392987500001,0.2775145192499998,0.005,0.79,0.8662806159650001,0.025641317215,0.8406392987500001
swap,affinity,0,0,0,60,0.48278427258333334,0.4414838204166667,0.38333333333333336,0.5666666666666667,0.9214538599333332,0.43866958735,0.9214538599333332
swap,affinity,0,25,0,60,0.35839165925,0.56587643375,0.5666666666666667,0.4,0.9223985936166667,0.5640069343666667,0.9223985936166667
swap,affinity,0,50,0,60,0.4243453717166667,0.4999227212833333,0.4666666666666667,0.5166666666666667,0.9283387347500001,0.5039933630333333,0.9283387347500001
swap,affinity,0,75,0,60,0.3939059733666666,0.5303621196333335,0.4666666666666667,0.5166666666666667,0.9404849009833334,0.5465789276166666,0.9404849009833334
swap,affinity,0,100,0,60,0.37160797043333343,0.5526601225666665,0.5333333333333333,0.45,0.9483611663500001,0.5767531959166665,0.9483611663500001
swap,affinity,0,125,0,60,0.41361026084999997,0.51065783215,0.4666666666666667,0.5,0.9214836751333334,0.5078734142833333,0.9214836751333334
swap,affinity,0,150,0,60,0.38451433873333335,0.5397537542666666,0.5166666666666667,0.43333333333333335,0.9206268746333334,0.5361125359,0.9206268746333334
swap,affinity,0,0,1,200,0.3950870523,0.5291810406999999,0.48,0.5,0.913483008495,0.518395956195,0.913483008495
swap,affinity,0,150,1,200,0.36840799888,0.55586009412,0.52,0.445,0.9215365733850001,0.5531285745050001,0.9215365733850001
swap,affinity,1,0,0,60,0.4166015847999999,0.5076665082,0.4,0.5166666666666667,0.9119331539500001,0.49533156914999993,0.9119331539500001
swap,affinity,1,25,0,60,0.34251452485000006,0.5817535681499999,0.5666666666666667,0.38333333333333336,0.9206446484333334,0.5781301235833334,0.9206446484333334
swap,affinity,1,50,0,60,0.4182152016,0.5060528914,0.5,0.5,0.9482987219833334,0.5300835203833333,0.9482987219833334
swap,affinity,1,75,0,60,0.3160676539166667,0.6082004390833333,0.6,0.36666666666666664,0.9442841595333334,0.6282165056166666,0.9442841595333334
swap,affinity,1,100,0,60,0.47200643821666666,0.45226165478333336,0.38333333333333336,0.6,0.9519225345000002,0.47991609628333337,0.9519225345000002
swap,affinity,1,125,0,60,0.3609680964,0.5632999966000001,0.5,0.45,0.9425241307166666,0.5815560343166669,0.9425241307166666
swap,affinity,1,150,0,60,0.3983451931666667,0.5259228998333333,0.48333333333333334,0.5,0.9583607710166667,0.5600155778500001,0.9583607710166667
swap,affinity,1,0,1,200,0.45781925972000004,0.46644883328,0.37,0.585,0.925141530075,0.46732227035499996,0.925141530075
swap,affinity,1,150,1,200,0.38400007445499995,0.5402680185450001,0.545,0.44,0.9540346589300001,0.570034584475,0.9540346589300001
swap,affinity,2,0,0,60,0.4232174166166666,0.5010506763833333,0.45,0.5166666666666667,0.9161658550833333,0.4929484384666667,0.9161658550833333
swap,affinity,2,25,0,60,0.4088864461,0.5153816469,0.45,0.55,0.9242150475333334,0.5153286014333333,0.9242150475333334
swap,affinity,2,50,0,60,0.34675283213333336,0.5775152608666667,0.5,0.4666666666666667,0.9379585269833335,0.5912056948500002,0.9379585269833335
swap,affinity,2,75,0,60,0.4279565923,0.4963115007,0.48333333333333334,0.48333333333333334,0.9523195214000001,0.5243629290999999,0.9523195214000001
swap,affinity,2,100,0,60,0.3840004751499999,0.5402676178500001,0.5666666666666667,0.4166666666666667,0.9371742525,0.55317377735,0.9371742525
swap,affinity,2,125,0,60,0.43104313468333344,0.4932249583166666,0.4,0.5833333333333334,0.9373157971333334,0.50627266245,0.9373157971333334
swap,affinity,2,150,0,60,0.4548616554166667,0.46940643758333334,0.4166666666666667,0.5666666666666667,0.9472128161499999,0.4923511607333333,0.9472128161499999
swap,affinity,2,0,1,200,0.3726984631100001,0.5515696298899999,0.52,0.445,0.9167453662649998,0.5440469031549999,0.9167453662649998
swap,affinity,2,150,1,200,0.40445887418,0.5198092188200001,0.5,0.48,0.9456696324149999,0.541210758235,0.9456696324149999
swap,affinity,3,0,0,60,0.37785134338333337,0.5464167496166666,0.4666666666666667,0.5,0.9223842635833335,0.5445329202,0.9223842635833335
swap,affinity,3,25,0,60,0.36878523603333335,0.5554828569666667,0.5166666666666667,0.4666666666666667,0.9567498064,0.5879645703666667,0.9567498064
swap,affinity,3,50,0,60,0.29106325418333334,0.6332048388166667,0.6,0.38333333333333336,0.9071862589833334,0.6161230048,0.9071862589833334
swap,affinity,3,75,0,60,0.43286078366666664,0.4914073093333334,0.5,0.5,0.9601572265333334,0.5272964428666668,0.9601572265333334
swap,affinity,3,100,0,60,0.39894103248333335,0.5253270605166667,0.5333333333333333,0.45,0.9418109249000002,0.5428698924166667,0.9418109249000002
swap,affinity,3,125,0,60,0.39878652056666675,0.5254815724333333,0.5333333333333333,0.45,0.9450500258499999,0.5462635052833333,0.9450500258499999
swap,affinity,3,150,0,60,0.39891372235,0.52535437065,0.5166666666666667,0.48333333333333334,0.9555273785666667,0.5566136562166666,0.9555273785666667
swap,affinity,3,0,1,200,0.428723762045,0.495544330955,0.4,0.535,0.9086897459050001,0.47996598386,0.9086897459050001
swap,affinity,3,150,1,200,0.39976441674,0.5245036762599999,0.53,0.455,0.943733678815,0.5439692620750001,0.943733678815
swap,affinity,4,0,0,60,0.41309730845,0.51117078455,0.4666666666666667,0.48333333333333334,0.9258566109333333,0.5127593024833333,0.9258566109333333
swap,affinity,4,25,0,60,0.40426891798333336,0.5199991750166666,0.45,0.5,0.90699069065,0.5027217726666666,0.90699069065
swap,affinity,4,50,0,60,0.4418493171666667,0.4824187758333333,0.4166666666666667,0.5166666666666667,0.9119758871,0.47012656993333335,0.9119758871
swap,affinity,4,75,0,60,0.43509756401666666,0.48917052898333335,0.4166666666666667,0.5166666666666667,0.9124943638166666,0.47739679980000005,0.9124943638166666
swap,affinity,4,100,0,60,0.45718247591666666,0.46708561708333335,0.36666666666666664,0.6166666666666667,0.9450961724333333,0.48791369651666666,0.9450961724333333
swap,affinity,4,125,0,60,0.40996595485000004,0.5143021381499999,0.45,0.55,0.9452527495333332,0.5352867946833333,0.9452527495333332
swap,affinity,4,150,0,60,0.44567983305,0.47858825995000004,0.43333333333333335,0.55,0.9433736360833334,0.4976938030333333,0.9433736360833334
swap,affinity,4,0,1,200,0.404477349055,0.519790743945,0.46,0.525,0.9148524082049999,0.5103750591499999,0.9148524082049999
swap,affinity,4,150,1,200,0.45739420041,0.46687389259,0.38,0.6,0.9456830573249999,0.48828885691499996,0.9456830573249999
swap,affinity,5,0,0,60,0.3520030502666666,0.5722650427333333,0.5333333333333333,0.4666666666666667,0.9092655636833334,0.5572625134166668,0.9092655636833334
swap,affinity,5,25,0,60,0.40409986180000007,0.5201682312,0.48333333333333334,0.5166666666666667,0.9135095534000002,0.5094096916,0.9135095534000002
swap,affinity,5,50,0,60,0.43777374625000004,0.48649434675,0.4666666666666667,0.5166666666666667,0.9465446144833334,0.5087708682333333,0.9465446144833334
swap,affinity,5,75,0,60,0.4461140064166667,0.4781540865833333,0.4,0.55,0.9593182340166667,0.5132042276,0.9593182340166667
swap,affinity,5,100,0,60,0.3885577670333334,0.5357103259666667,0.5166666666666667,0.4666666666666667,0.9460320911,0.5574743240666666,0.9460320911
swap,affinity,5,125,0,60,0.39182172225000006,0.53244637075,0.5333333333333333,0.4666666666666667,0.9600530596166664,0.5682313373666668,0.9600530596166664
swap,affinity,5,150,0,60,0.4195700931833334,0.5046979998166666,0.45,0.5333333333333333,0.9406273380333333,0.5210572448499999,0.9406273380333333
swap,affinity,5,0,1,200,0.418994279295,0.505273813705,0.385,0.565,0.9157884801,0.49679420080500003,0.9157884801
swap,affinity,5,150,1,200,0.44642111216499997,0.47784698083500005,0.415,0.585,0.951931112615,0.50551000045,0.951931112615
swap,margin,0,0,0,60,0.6491202050833332,0.2751478879166668,0.03333333333333333,0.7666666666666667,0.8892649914500002,0.2401447863666667,0.6491202050833332
swap,margin,0,25,0,60,0.6293755910666666,0.2948925019333334,0.05,0.6666666666666666,0.8344587332500001,0.2050831421833333,0.6293755910666666
swap,margin,0,50,0,60,0.6458016454833333,0.2784664475166667,0.03333333333333333,0.7833333333333333,0.8482670797666666,0.20246543428333336,0.6458016454833333
swap,margin,0,75,0,60,0.6184553577666667,0.3058127352333333,0.016666666666666666,0.6833333333333333,0.8487658510166668,0.23031049325000003,0.6184553577666667
swap,margin,0,100,0,60,0.6775826902833333,0.24668540271666672,0.0,0.7833333333333333,0.8880094229500001,0.21042673266666662,0.6775826902833333
swap,margin,0,125,0,60,0.6676481414333334,0.2566199515666666,0.0,0.8333333333333334,0.8801394613166664,0.21249131988333333,0.6676481414333334
swap,margin,0,150,0,60,0.7069295485166667,0.21733854448333334,0.0,0.85,0.89075251235,0.18382296383333335,0.7069295485166667
swap,margin,0,0,1,200,0.61614335667,0.30812473633000004,0.015,0.755,0.8505755807450001,0.23443222407500003,0.61614335667
swap,margin,0,150,1,200,0.692916649855,0.231351443145,0.0,0.855,0.889271095835,0.19635444598,0.692916649855
swap,margin,1,0,0,60,0.6299541540833334,0.2943139389166666,0.06666666666666667,0.7666666666666667,0.8549342258833333,0.2249800718,0.6299541540833334
swap,margin,1,25,0,60,0.6197371949666667,0.30453089803333333,0.05,0.7166666666666667,0.8390457530499998,0.21930855808333333,0.6197371949666667
swap,margin,1,50,0,60,0.7117982598666668,0.21246983313333323,0.0,0.85,0.8937790045166667,0.18198074465,0.7117982598666668
swap,margin,1,75,0,60,0.6787096668833335,0.24555842611666656,0.0,0.8,0.8776899768666666,0.19898030998333333,0.6787096668833335
swap,margin,1,100,0,60,0.6550204783166667,0.26924761468333336,0.05,0.7833333333333333,0.8725273956333334,0.2175069173166667,0.6550204783166667
swap,margin,1,125,0,60,0.7120741990499998,0.2121938939500002,0.0,0.85,0.8905160178666666,0.17844181881666668,0.7120741990499998
swap,margin,1,150,0,60,0.7165968906166668,0.20767120238333325,0.0,0.8666666666666667,0.8960754331333333,0.1794785425166667,0.7165968906166668
swap,margin,1,0,1,200,0.601641044935,0.322627048065,0.035,0.665,0.8227447003749999,0.22110365544,0.601641044935
swap,margin,1,150,1,200,0.6973879925350001,0.22688010046499996,0.015,0.84,0.8907863732850001,0.19339838075,0.6973879925350001
swap,margin,2,0,0,60,0.6305123288666665,0.2937557641333335,0.016666666666666666,0.75,0.8572705294499999,0.22675820058333332,0.6305123288666665
swap,margin,2,25,0,60,0.6724605639666666,0.25180752903333337,0.016666666666666666,0.8,0.8873755381166666,0.21491497415,0.6724605639666666
swap,margin,2,50,0,60,0.6496590906833334,0.27460900231666663,0.05,0.75,0.86040083535,0.21074174466666665,0.6496590906833334
swap,margin,2,75,0,60,0.6371760957166667,0.28709199728333334,0.03333333333333333,0.7333333333333333,0.8384509332833333,0.20127483756666667,0.6371760957166667
swap,margin,2,100,0,60,0.6851502132999999,0.2391178797000001,0.016666666666666666,0.85,0.8930076847666665,0.20785747146666667,0.6851502132999999
swap,margin,2,125,0,60,0.6811556219,0.2431124711,0.016666666666666666,0.8,0.8515468270833332,0.17039120518333334,0.6811556219
swap,margin,2,150,0,60,0.6766663525,0.24760174050000006,0.05,0.85,0.8927551899499999,0.21608883745,0.6766663525
swap,margin,2,0,1,200,0.6188704716150001,0.30539762138499993,0.025,0.74,0.85253014866,0.233659677045,0.6188704716150001
swap,margin,2,150,1,200,0.706819260835,0.217448832165,0.005,0.86,0.8938395430850001,0.18702028225,0.706819260835
swap,margin,3,0,0,60,0.6047804835166665,0.31948760948333355,0.03333333333333333,0.7,0.8395679836833333,0.23478750016666666,0.6047804835166665
swap,margin,3,25,0,60,0.6310967938666665,0.2931712991333335,0.016666666666666666,0.7166666666666667,0.8419978010833336,0.21090100721666669,0.6310967938666665
swap,margin,3,50,0,60,0.6945711802500001,0.22969691274999993,0.03333333333333333,0.9166666666666666,0.8956811154833333,0.2011099352333333,0.6945711802500001
swap,margin,3,75,0,60,0.6838134621,0.24045463089999997,0.05,0.8,0.89642300025,0.21260953815,0.6838134621
swap,margin,3,100,0,60,0.6491357074499999,0.2751323855500001,0.0,0.7833333333333333,0.8644677433499999,0.21533203590000002,0.6491357074499999
swap,margin,3,125,0,60,0.6683429189666666,0.25592517403333337,0.03333333333333333,0.75,0.8824870391833335,0.21414412021666668,0.6683429189666666
swap,margin,3,150,0,60,0.6635255579,0.2607425351,0.016666666666666666,0.8,0.8618431073166666,0.19831754941666666,0.6635255579
swap,margin,3,0,1,200,0.595218791185,0.32904930181500003,0.05,0.71,0.84435340154,0.24913461035499998,0.595218791185
