task,reward,seed,batches,final,n,mean_score,specificity_regret,crosstalk_rate,success_rate,mean_on_target,mean_off_target,reward_achieved
cognate,affinity,0,0,0,60,0.49113500111666664,0.6270188168833333,0.3,0.6,0.9051535352333334,0.41401853411666667,0.9051535352333334
cognate,affinity,0,25,0,60,0.4979716177833334,0.6201822002166666,0.36666666666666664,0.6,0.9403948175166669,0.4424231997333334,0.9403948175166669
cognate,affinity,0,50,0,60,0.46796788998333333,0.6501859280166666,0.35,0.5833333333333334,0.91923316475,0.4512652747666666,0.91923316475
cognate,affinity,0,75,0,60,0.4318060657666666,0.6863477522333333,0.48333333333333334,0.5,0.9369662086333332,0.5051601428666667,0.9369662086333332
cognate,affinity,0,100,0,60,0.4027158058833333,0.7154380121166666,0.48333333333333334,0.45,0.91865897625,0.5159431703666666,0.91865897625
cognate,affinity,0,125,0,60,0.4004126556333334,0.7177411623666665,0.55,0.4,0.9115700854166666,0.5111574297833333,0.9115700854166666
cognate,affinity,0,150,0,60,0.4889033389833333,0.6292504790166666,0.38333333333333336,0.5833333333333334,0.9336926340999999,0.4447892951166666,0.9336926340999999
cognate,affinity,0,0,1,200,0.51449094201,0.6036628759899999,0.33,0.605,0.91466961711,0.40017867510000005,0.91466961711
cognate,affinity,0,150,1,200,0.44984067152999996,0.66831314647,0.445,0.535,0.9363377314100001,0.48649705988,0.9363377314100001
cognate,affinity,1,0,0,60,0.5341861308333333,0.5839676871666666,0.3333333333333333,0.6166666666666667,0.9233823503166668,0.38919621948333327,0.9233823503166668
cognate,affinity,1,25,0,60,0.41318461589999994,0.7049692021,0.43333333333333335,0.5333333333333333,0.9171974882166667,0.5040128723166667,0.9171974882166667
cognate,affinity,1,50,0,60,0.48380664805,0.6343471699499998,0.45,0.5166666666666667,0.9357260793,0.45191943125,0.9357260793
cognate,affinity,1,75,0,60,0.49412969524999995,0.62402412275,0.3333333333333333,0.6333333333333333,0.9191161277166666,0.4249864324666666,0.9191161277166666
cognate,affinity,1,100,0,60,0.48154142963333335,0.6366123883666666,0.36666666666666664,0.5833333333333334,0.9332364647833332,0.45169503515,0.9332364647833332
cognate,affinity,1,125,0,60,0.4735504829166667,0.6446033350833332,0.4,0.6,0.9443004763833334,0.47074999346666674,0.9443004763833334
cognate,affinity,1,150,0,60,0.48999696904999995,0.62815684895,0.35,0.6333333333333333,0.9274342460166667,0.43743727696666657,0.9274342460166667
cognate,affinity,1,0,1,200,0.49916294379,0.6189908742099999,0.335,0.63,0.9229515836400001,0.42378863985000004,0.9229515836400001
cognate,affinity,1,150,1,200,0.41409672003,0.7040570979699999,0.485,0.465,0.92886016082,0.51476344079,0.92886016082
cognate,affinity,2,0,0,60,0.47729775015000003,0.6408560678499999,0.38333333333333336,0.5833333333333334,0.9188937069333335,0.4415959567833333,0.9188937069333335
cognate,affinity,2,25,0,60,0.5383875826666666,0.5797662353333333,0.31666666666666665,0.65,0.9224959125333334,0.38410832986666665,0.9224959125333334
cognate,affinity,2,50,0,60,0.5633055672666668,0.5548482507333331,0.2833333333333333,0.6333333333333333,0.9188380438166668,0.3555324765499999,0.9188380438166668
cognate,affinity,2,75,0,60,0.4889689645166667,0.6291848534833332,0.4,0.5833333333333334,0.9336402870333331,0.44467132251666663,0.9336402870333331
cognate,affinity,2,100,0,60,0.5808938687166667,0.5372599492833332,0.25,0.7,0.9408410197666667,0.3599471510499999,0.9408410197666667
cognate,affinity,2,125,0,60,0.5522041292,0.5659496888,0.31666666666666665,0.6333333333333333,0.9340126505166666,0.3818085213166666,0.9340126505166666
cognate,affinity,2,150,0,60,0.5035277137,0.6146261042999999,0.38333333333333336,0.5666666666666667,0.9263280284666667,0.4228003147666667,0.9263280284666667
cognate,affinity,2,0,1,200,0.47734911618,0.6408047018199999,0.405,0.55,0.928782139665,0.45143302348500003,0.928782139665
cognate,affinity,2,150,1,200,0.46802947336500006,0.6501243446349998,0.41,0.545,0.930883531115,0.46285405775,0.930883531115
cognate,affinity,3,0,0,60,0.4608009535833333,0.6573528644166666,0.4166666666666667,0.55,0.9359203813666669,0.4751194277833333,0.9359203813666669
cognate,affinity,3,25,0,60,0.4086985054666666,0.7094553125333334,0.5,0.4666666666666667,0.9253020090999999,0.5166035036333333,0.9253020090999999
cognate,affinity,3,50,0,60,0.4741408852,0.6440129327999999,0.3333333333333333,0.5833333333333334,0.9131400096166667,0.4389991244166666,0.9131400096166667
cognate,affinity,3,75,0,60,0.4381158222,0.6800379957999999,0.4166666666666667,0.5666666666666667,0.9272352863666667,0.4891194641666667,0.9272352863666667
cognate,affinity,3,100,0,60,0.44562827498333335,0.6725255430166666,0.38333333333333336,0.5166666666666667,0.9149876163833334,0.46935934139999996,0.9149876163833334
cognate,affinity,3,125,0,60,0.5779527084833334,0.5402011095166666,0.2833333333333333,0.6833333333333333,0.9256119939833334,0.34765928549999997,0.9256119939833334
cognate,affinity,3,150,0,60,0.5517004843833333,0.5664533336166666,0.3333333333333333,0.6166666666666667,0.9313100278999998,0.37960954351666665,0.9313100278999998
cognate,affinity,3,0,1,200,0.50127399783,0.6168798201699999,0.35,0.57,0.91094664707,0.4096726492400001,0.91094664707
cognate,affinity,3,150,1,200,0.55240584229,0.5657479757099999,0.305,0.645,0.9349427739649999,0.382536931675,0.9349427739649999
cognate,affinity,4,0,0,60,0.48570125796666674,0.6324525600333332,0.36666666666666664,0.6166666666666667,0.9343351355166667,0.44863387755,0.9343351355166667
