model,alphabet,n_sequences,reference,reference_delta,intervention,probes,expect,preserves,destroys,n,mean_delta,ci_lo,ci_hi,se,boot_lo,boot_hi,real_higher,ties,binom_p,ratio_to_reference,verdict,passed
LongSafari/hyenadna-small-32k-seqlen-hf,dna,24,mononucleotide shuffle,0.04821429166666669,synonymous recode,codon-level surface form,no_preference,protein_identity;reading_frame;length;strand,codon_usage;codon_adjacency;nucleotide_composition;dinucleotide_composition;kmer_composition,24,0.055864208333333325,0.04307304743079883,0.06865536923586782,0.006183314998697133,0.043478593750000016,0.06734115624999996,23,0,2.9802322387695312e-06,1.1586649186833426,SENSITIVE,False
LongSafari/hyenadna-small-32k-seqlen-hf,dna,24,mononucleotide shuffle,0.04821429166666669,codon-order shuffle,codon context,real_higher,codon_usage;reading_frame;nucleotide_composition;length;strand,protein_identity;codon_adjacency;dinucleotide_composition;kmer_composition,24,0.02574529166666668,0.013926522741722562,0.0375640605916108,0.005713255561132248,0.015033601041666697,0.03671316041666664,19,0,0.006610751152038574,0.5339763538300798,REPRESENTS,True
LongSafari/hyenadna-small-32k-seqlen-hf,dna,24,mononucleotide shuffle,0.04821429166666669,frameshift +1,reading_frame,real_higher,nucleotide_composition;dinucleotide_composition;kmer_composition;length;strand,reading_frame;protein_identity;codon_usage;codon_adjacency,24,-0.00022954166666667533,-0.000799096598836403,0.0003400132655030524,0.000275325873976708,-0.0007799374999999919,0.0002893760416666564,12,0,1.0,-0.004760863609770102,NULL,False
LongSafari/hyenadna-small-32k-seqlen-hf,dna,24,mononucleotide shuffle,0.04821429166666669,frameshift +2,reading_frame,real_higher,nucleotide_composition;dinucleotide_composition;kmer_composition;length;strand,reading_frame;protein_identity;codon_usage;codon_adjacency,24,-0.0003783333333333416,-0.0009721829916778201,0.00021551632501113683,0.00028707007341960693,-0.0009029208333333365,0.00019643229166666038,9,0,0.30745625495910645,-0.00784691261149244,NULL,False
LongSafari/hyenadna-small-32k-seqlen-hf,dna,24,mononucleotide shuffle,0.04821429166666669,reverse complement,strand,real_higher,length,strand;protein_identity;reading_frame;codon_usage;codon_adjacency,24,-7.874999999990528e-06,-0.0028438857890498363,0.0028281357890498553,0.0013709426518842525,-0.002808499999999977,0.00251789479166665,15,0,0.30745625495910645,-0.00016333331316853027,NULL,False
LongSafari/hyenadna-small-32k-seqlen-hf,dna,24,mononucleotide shuffle,0.04821429166666669,dinucleotide shuffle,structure above dinucleotide,real_higher,nucleotide_composition;dinucleotide_composition;length,protein_identity;reading_frame;codon_usage;codon_adjacency;kmer_composition,24,0.015178416666666675,0.007508688586149633,0.02284814474718372,0.00370758721882646,0.008438657291666665,0.022497978125000012,20,0,0.001543879508972168,0.3148115660726462,REPRESENTS,True
LongSafari/hyenadna-small-32k-seqlen-hf,dna,24,mononucleotide shuffle,0.04821429166666669,mononucleotide shuffle,structure above base composition,real_higher,nucleotide_composition;length,protein_identity;reading_frame;codon_usage;codon_adjacency;dinucleotide_composition;kmer_composition,24,0.04821429166666669,0.03501321998986383,0.061415363343469545,0.006381468040315032,0.03590189583333336,0.06057403437500001,22,0,3.5881996154785156e-05,1.0,REPRESENTS,True
LongSafari/hyenadna-small-32k-seqlen-hf,dna,24,mononucleotide shuffle,0.04821429166666669,stop in frame,premature termination,real_higher,reading_frame;length;strand,protein_identity,24,0.0016663333333333437,0.00027023125825621774,0.0030624354084104696,0.0006748831451902148,0.0004643656250000072,0.003040294791666667,18,0,0.022655844688415527,0.03456098338753311,REPRESENTS,True
LongSafari/hyenadna-small-32k-seqlen-hf,dna,24,mononucleotide shuffle,0.04821429166666669,stop out of frame,matched control for premature termination,real_higher,reading_frame;length;strand;protein_identity,codon_usage,24,0.0010832500000000262,-5.717896322745761e-06,0.0021722178963227983,0.0005264128547627035,0.00016107395833337633,0.0021725583333333676,15,0,0.30745625495910645,0.022467404633654285,NULL,False
