auc_direct,auc_recursive,comparable,flank,max_abs_diff,n_chunks,pearson,rho_rec_vs_direct,scorer,transform
0.3845355474831344,0.3845355474831344,yes,1440,0.0,1,1.0,0.9999999999999998,markov5,real
0.3845355474831344,0.3845355474831344,yes,2880,0.0,2,1.0,0.9999999999999998,markov5,real
0.3845355474831344,0.3845355474831344,yes,4320,4.440892098500626e-16,3,1.0,0.9999999999999998,markov5,real
0.3845355474831344,0.3845355474831344,yes,5760,0.0,4,1.0,0.9999999999999998,markov5,real
0.3845355474831344,0.3845355474831344,no_independent_shuffles,1440,0.0,1,1.0,0.9999999999999998,markov5,shuffle_mono
0.3845355474831344,0.3845355474831344,no_independent_shuffles,2880,0.0,2,1.0,0.9999999999999998,markov5,shuffle_mono
0.3845355474831344,0.3845355474831344,no_independent_shuffles,4320,4.440892098500626e-16,3,1.0,0.9999999999999998,markov5,shuffle_mono
0.3845355474831344,0.3845355474831344,no_independent_shuffles,5760,0.0,4,1.0,0.9999999999999998,markov5,shuffle_mono
0.3845355474831344,0.3845355474831344,no_independent_shuffles,1440,0.0,1,1.0,0.9999999999999998,markov5,shuffle_dinuc
0.3845355474831344,0.3845355474831344,no_independent_shuffles,2880,0.0,2,1.0,0.9999999999999998,markov5,shuffle_dinuc
0.3845355474831344,0.3845355474831344,no_independent_shuffles,4320,4.440892098500626e-16,3,1.0,0.9999999999999998,markov5,shuffle_dinuc
0.3845355474831344,0.3845355474831344,no_independent_shuffles,5760,0.0,4,1.0,0.9999999999999998,markov5,shuffle_dinuc
0.3730669434353918,0.3730669434353918,yes,1440,0.0,1,1.0,1.0,nt_v2_50m,real
0.36022314478463935,0.3482355993772704,yes,2880,2.7735331058502197,2,0.8739576580109628,0.8589538616348962,nt_v2_50m,real
0.3829787234042553,0.32900882200311365,yes,4320,3.001212437947591,3,0.872200017558013,0.8609548057283808,nt_v2_50m,real
0.4087960560456668,0.32055007784120393,yes,5760,2.6008331775665283,4,0.8528212814242155,0.8401141176948812,nt_v2_50m,real
0.40998962117280746,0.3741048261546445,no_independent_shuffles,1440,7.700443744659424,1,0.5710138433944715,0.5388696824283272,nt_v2_50m,shuffle_mono
0.31725480020757657,0.36795537104307213,no_independent_shuffles,2880,4.7733283042907715,2,0.7850886125770148,0.7686323391735415,nt_v2_50m,shuffle_mono
0.3662428645563051,0.382952776336274,no_independent_shuffles,4320,4.010408083597819,3,0.7529226302408913,0.7377549485243948,nt_v2_50m,shuffle_mono
0.37361183186299946,0.3833938764919564,no_independent_shuffles,5760,4.819539666175842,4,0.4923876871223308,0.46181963221877737,nt_v2_50m,shuffle_mono
0.2885313959522574,0.340373637778931,no_independent_shuffles,1440,6.57451868057251,1,0.7979200226664693,0.7965340969993748,nt_v2_50m,shuffle_dinuc
0.3762584327970939,0.3446808510638298,no_independent_shuffles,2880,5.4767608642578125,2,0.6756388479113489,0.661281724075021,nt_v2_50m,shuffle_dinuc
0.419330565646082,0.3201868188894655,no_independent_shuffles,4320,4.199540456136068,3,0.7690986313779546,0.7456613971163596,nt_v2_50m,shuffle_dinuc
0.35609756097560974,0.3762065386611313,no_independent_shuffles,5760,6.232475519180298,4,0.6188397242405179,0.5938589466788019,nt_v2_50m,shuffle_dinuc
