model,params,mean_rho,n_assays,nt_trend_prediction
NT-v2 50m,50000000.0,-0.00985763934729324,50,-0.014174499516299982
NT-v2 100m,100000000.0,-0.01290573226269677,25,-0.008800439539549648
NT-v2 250m,250000000.0,-0.0065044232381851405,25,-0.001696318672673669
NT-v2 500m,500000000.0,0.008274278423728649,25,0.003677741304076665
Evo 2 7B,7000000000.0,0.26580275500216244,25,0.02413869500798982
