ci,max_abs_delta,mean_delta,mean_rho,n_assays,n_worse,precision
8.27505933816728e-05,0.0006534024607917077,2.8725236935343012e-05,0.38550836924962895,25,11,fp16
0.0025757335082754987,0.014617278182595173,0.00021760511418078652,0.38569724912687425,25,14,int8-dynamic
,,,0.3854796440126935,25,,fp32
