model,alphabet,n_sequences,reference,reference_delta,intervention,probes,expect,preserves,destroys,n,mean_delta,ci_lo,ci_hi,se,boot_lo,boot_hi,real_higher,ties,binom_p,ratio_to_reference,verdict,passed
facebook/esm2_t12_35M_UR50D,protein,10,mononucleotide shuffle,1.0378359000000001,synonymous recode,codon-level surface form,no_preference,protein_identity;reading_frame;length;strand,codon_usage;codon_adjacency;nucleotide_composition;dinucleotide_composition;kmer_composition,10,0.0,0.0,0.0,0.0,0.0,0.0,0,10,nan,0.0,INVARIANT,True
facebook/esm2_t12_35M_UR50D,protein,10,mononucleotide shuffle,1.0378359000000001,codon-order shuffle,codon context,real_higher,codon_usage;reading_frame;nucleotide_composition;length;strand,protein_identity;codon_adjacency;dinucleotide_composition;kmer_composition,10,0.9455634999999999,0.6248188629799039,1.266308137020096,0.16364522296943673,0.6430017524999999,1.2543451724999997,10,0,0.001953125,0.9110915319078862,REPRESENTS,True
facebook/esm2_t12_35M_UR50D,protein,10,mononucleotide shuffle,1.0378359000000001,frameshift +1,reading_frame,real_higher,nucleotide_composition;dinucleotide_composition;kmer_composition;length;strand,reading_frame;protein_identity;codon_usage;codon_adjacency,10,0.9112717,0.6241210127608277,1.1984223872391724,0.1465054526730471,0.6432156775000001,1.1890149475,10,0,0.001953125,0.8780498920879495,REPRESENTS,True
facebook/esm2_t12_35M_UR50D,protein,10,mononucleotide shuffle,1.0378359000000001,frameshift +2,reading_frame,real_higher,nucleotide_composition;dinucleotide_composition;kmer_composition;length;strand,reading_frame;protein_identity;codon_usage;codon_adjacency,10,0.8935383000000001,0.5558893437144887,1.2311872562855115,0.17226987565587315,0.5749979275,1.215065465,10,0,0.001953125,0.8609629903918337,REPRESENTS,True
facebook/esm2_t12_35M_UR50D,protein,10,mononucleotide shuffle,1.0378359000000001,reverse complement,strand,real_higher,length,strand;protein_identity;reading_frame;codon_usage;codon_adjacency,10,0.8415661,0.5271075354388418,1.156024664561158,0.16043804314344806,0.541038,1.14069489,10,0,0.001953125,0.8108855166794672,REPRESENTS,True
facebook/esm2_t12_35M_UR50D,protein,10,mononucleotide shuffle,1.0378359000000001,dinucleotide shuffle,structure above dinucleotide,real_higher,nucleotide_composition;dinucleotide_composition;length,protein_identity;reading_frame;codon_usage;codon_adjacency;kmer_composition,10,0.9961819000000001,0.6685201066869774,1.3238436933130227,0.16717438434337892,0.68493575,1.3157298249999998,10,0,0.001953125,0.9598645604762757,REPRESENTS,True
facebook/esm2_t12_35M_UR50D,protein,10,mononucleotide shuffle,1.0378359000000001,mononucleotide shuffle,structure above base composition,real_higher,nucleotide_composition;length,protein_identity;reading_frame;codon_usage;codon_adjacency;dinucleotide_composition;kmer_composition,10,1.0378359000000001,0.6835078915587236,1.3921639084412767,0.18077959614350841,0.705181185,1.3799360725,10,0,0.001953125,1.0,REPRESENTS,True
facebook/esm2_t12_35M_UR50D,protein,10,mononucleotide shuffle,1.0378359000000001,stop in frame,premature termination,real_higher,reading_frame;length;strand,protein_identity,10,0.08470040000000001,0.06685668632016983,0.10254411367983018,0.009103935550933766,0.06831153499999999,0.10224862750000002,10,0,0.001953125,0.08161251696920487,REPRESENTS,True
facebook/esm2_t12_35M_UR50D,protein,10,mononucleotide shuffle,1.0378359000000001,stop out of frame,matched control for premature termination,real_higher,reading_frame;length;strand;protein_identity,codon_usage,10,0.0335969,0.009598358810011965,0.057595441189988036,0.012244153668361242,0.013311230000000049,0.05757082999999994,8,2,0.0078125,0.032372073465564255,REPRESENTS,True
