task,split,family,entry,auc,auc_lo,auc_hi,auc_rc,mcc,tpr1,clustercov1,missrun1,tpr10,clustercov10,n_test
promoter_all,shipped,trivial,best trivial: kmer4,0.925548812904397,0.908282110063662,0.9404387290515964,0.9143002554427456,0.6995732504955745,0.5164141414141414,0.6498054474708171,9,0.7916666666666666,0.8599221789883269,1571
promoter_all,shipped,trivial,trivial: onehot,0.9185500706681708,0.903301529068744,0.9305575096814992,0.8410598280623955,0.702119487139842,0.2941919191919191,0.3988326848249027,27,0.773989898989899,0.8696498054474708,1571
promoter_all,shipped,trivial,trivial: kmer5,0.9237399670647424,0.9097556599157132,0.9377727711055032,0.9094004875455454,0.6893883039185044,0.4987373737373737,0.6381322957198443,9,0.7651515151515151,0.8443579766536965,1571
promoter_all,shipped,trivial,trivial: pwm,0.905941637167568,0.8891228810428425,0.9210367893566944,0.8950934246184568,0.648648517610224,0.3661616161616162,0.4805447470817121,19,0.7563131313131313,0.8326848249027238,1571
promoter_all,shipped,model,NT-v2-50M train-CV config (L6_cls),0.9375542977917818,0.924992264293268,0.9506926825264674,0.895388415606644,0.7148506703611797,0.5113636363636364,0.6400778210116731,9,0.8005050505050505,0.8715953307392996,1571
promoter_all,shipped,model,"NT-v2-50M final layer, mean (L12_mean)",0.9297321741159996,0.9133777620613864,0.9439187103613328,0.911640474060243,0.7173969070054471,0.5050505050505051,0.6478599221789884,9,0.7803030303030303,0.8540856031128404,1571
promoter_all,shipped,model_oracle,NT-v2-50M best-of-9 ON TEST (L6_cls),0.9375542977917818,0.924992264293268,0.9506926825264674,0.895388415606644,0.7148506703611797,0.5113636363636364,0.6400778210116731,9,0.8005050505050505,0.8715953307392996,1571
promoter_all,shipped,model,HyenaDNA-small-32k train-CV config (L4_mean),0.9357811102034466,0.9238382799068636,0.9483579934621924,0.9047357399411314,0.7173969070054471,0.5303030303030303,0.669260700389105,9,0.7992424242424242,0.8715953307392996,1571
promoter_all,shipped,model,"HyenaDNA-small-32k final layer, mean (L4_mean)",0.9357811102034466,0.9238382799068636,0.9483579934621924,0.9047357399411314,0.7173969070054471,0.5303030303030303,0.669260700389105,9,0.7992424242424242,0.8715953307392996,1571
promoter_all,shipped,model_oracle,HyenaDNA-small-32k best-of-9 ON TEST (L4_mean),0.9357811102034466,0.9238382799068636,0.9483579934621924,0.9047357399411314,0.7173969070054471,0.5303030303030303,0.669260700389105,9,0.7992424242424242,0.8715953307392996,1571
promoter_all,cluster,trivial,best trivial: kmer5,0.9246682355381812,0.91133594831622,0.936909721060034,0.9165191797784132,0.675371592226548,0.6130268199233716,0.6943942133815552,7,0.8084291187739464,0.8535262206148282,1571
promoter_all,cluster,trivial,trivial: onehot,0.916170721745726,0.9007074129285811,0.9301348085170588,0.8517465040745279,0.675371592226548,0.5440613026819924,0.6166365280289331,7,0.7867177522349936,0.8173598553345389,1571
promoter_all,cluster,trivial,trivial: kmer5,0.9246682355381812,0.91133594831622,0.936909721060034,0.9165191797784132,0.675371592226548,0.6130268199233716,0.6943942133815552,7,0.8084291187739464,0.8535262206148282,1571
promoter_all,cluster,trivial,trivial: pwm,0.9058644676533704,0.8918288382842665,0.9214761660490582,0.8984204316341546,0.6575484556979024,0.5210727969348659,0.5840867992766727,8,0.7637292464878672,0.7956600361663653,1571
promoter_all,cluster,model,NT-v2-50M train-CV config (L6_cls),0.9343472651717006,0.9200631527714022,0.9477368140710458,0.9034528139201692,0.7008332158388987,0.6398467432950191,0.7160940325497287,5,0.8160919540229885,0.8499095840867993,1571
promoter_all,cluster,model,"NT-v2-50M final layer, mean (L12_mean)",0.9307022320762912,0.9179510409810134,0.9451180478868942,0.9149567912039468,0.6957408911164286,0.6385696040868455,0.7106690777576854,6,0.8160919540229885,0.8444846292947559,1571
promoter_all,cluster,model_oracle,NT-v2-50M best-of-9 ON TEST (L9_mean),0.9348351064174624,0.9219835010384382,0.948529567604292,0.9143522570356108,0.711017865283839,0.6219667943805874,0.6925858951175407,6,0.8122605363984674,0.8444846292947559,1571
promoter_all,cluster,model,HyenaDNA-small-32k train-CV config (L4_mean),0.9378205003533202,0.9265846306036144,0.9509154277805372,0.9165191797784132,0.7186563523675442,0.6500638569604087,0.7160940325497287,6,0.8148148148148148,0.840867992766727,1571
promoter_all,cluster,model,"HyenaDNA-small-32k final layer, mean (L4_mean)",0.9378205003533202,0.9265846306036144,0.9509154277805372,0.9165191797784132,0.7186563523675442,0.6500638569604087,0.7160940325497287,6,0.8148148148148148,0.840867992766727,1571
promoter_all,cluster,model_oracle,HyenaDNA-small-32k best-of-9 ON TEST (L2_mean),0.940149496599698,0.9302953097301888,0.9524247871745408,0.9188562796999696,0.711017865283839,0.6666666666666666,0.72875226039783,5,0.8250319284802043,0.8535262206148282,1571
promoter_all,random,trivial,best trivial: kmer5,0.922849209184502,0.9103039995091616,0.9359532085148766,0.9081549803514016,0.6862409205877061,0.6005326231691078,0.6121045392022009,6,0.7949400798934754,0.7991746905089409,1571
promoter_all,random,trivial,trivial: onehot,0.9168815562989184,0.9035782589203482,0.9292305852959932,0.8482121399110129,0.6658520496891052,0.5565912117177098,0.562585969738652,9,0.7563249001331558,0.7620357634112792,1571
promoter_all,random,trivial,trivial: kmer5,0.922849209184502,0.9103039995091616,0.9359532085148766,0.9081549803514016,0.6862409205877061,0.6005326231691078,0.6121045392022009,6,0.7949400798934754,0.7991746905089409,1571
promoter_all,random,trivial,trivial: pwm,0.9007729531356566,0.8848993813530223,0.9140053015956252,0.8917118638563216,0.6123312635802777,0.5272969374167776,0.5350756533700137,8,0.7696404793608522,0.7757909215955984,1571
promoter_all,random,model,NT-v2-50M train-CV config (L9_mean),0.9403591958689228,0.9288819275790232,0.95151765416932,0.919827222240265,0.7193728357979327,0.62982689747004,0.640990371389271,6,0.8229027962716379,0.8321870701513068,1571
promoter_all,random,model,"NT-v2-50M final layer, mean (L12_mean)",0.9330502419538176,0.9213899838012024,0.9458324816082904,0.9169335195349292,0.7142756180732824,0.6191744340878829,0.6299862448418156,6,0.8095872170439414,0.8170563961485557,1571
promoter_all,random,model_oracle,NT-v2-50M best-of-9 ON TEST (L9_mean),0.9403591958689228,0.9288819275790232,0.95151765416932,0.919827222240265,0.7193728357979327,0.62982689747004,0.640990371389271,6,0.8229027962716379,0.8321870701513068,1571
promoter_all,random,model,HyenaDNA-small-32k train-CV config (L4_mean),0.938923711474132,0.9275849072510244,0.9489100013605798,0.919970121139294,0.7015325737616568,0.625832223701731,0.6382393397524071,6,0.8069241011984021,0.8156808803301238,1571
promoter_all,random,model,"HyenaDNA-small-32k final layer, mean (L4_mean)",0.938923711474132,0.9275849072510244,0.9489100013605798,0.919970121139294,0.7015325737616568,0.625832223701731,0.6382393397524071,6,0.8069241011984021,0.8156808803301238,1571
promoter_all,random,model_oracle,HyenaDNA-small-32k best-of-9 ON TEST (L4_mean),0.938923711474132,0.9275849072510244,0.9489100013605798,0.919970121139294,0.7015325737616568,0.625832223701731,0.6382393397524071,6,0.8069241011984021,0.8156808803301238,1571
promoter_tata,shipped,trivial,best trivial: onehot,0.97374510501958,0.9583106747437792,0.9896372064538944,0.7501779992880029,0.7735849056603774,0.6698113207547169,0.6862745098039216,4,0.8867924528301887,0.8921568627450981,212
promoter_tata,shipped,trivial,trivial: onehot,0.97374510501958,0.9583106747437792,0.9896372064538944,0.7501779992880029,0.7735849056603774,0.6698113207547169,0.6862745098039216,4,0.8867924528301887,0.8921568627450981,212
promoter_tata,shipped,trivial,trivial: kmer5,0.9130473478106088,0.8777462943917532,0.9476895676015822,0.8861694553221786,0.6226415094339622,0.6320754716981132,0.6568627450980392,6,0.6792452830188679,0.7058823529411765,212
promoter_tata,shipped,trivial,trivial: pwm,0.9234603061587754,0.8872140853234272,0.9576390924210726,0.8919544321822713,0.6415094339622641,0.4716981132075472,0.4901960784313725,8,0.7169811320754716,0.7450980392156863,212
promoter_tata,shipped,model,NT-v2-50M train-CV config (L6_cls),0.9482022071911712,0.9211257337404128,0.9719797178130511,0.8522605909576362,0.7547169811320755,0.5188679245283019,0.5392156862745098,5,0.8490566037735849,0.8529411764705882,212
promoter_tata,shipped,model,"NT-v2-50M final layer, mean (L12_mean)",0.9199003203987184,0.8823550268282238,0.9501138936555604,0.8919544321822712,0.7169811320754716,0.4339622641509434,0.4509803921568627,8,0.7452830188679245,0.7450980392156863,212
