study,n,frac_multi,max_k,rho_masked_wt,conf_masked_wt,rho_masked_wt_per_mut,rho_mutant_marg,conf_mutant_marg,rho_mutant_marg_per_mut,rho_seq_loglik,conf_seq_loglik,rho_seq_loglik_per_mut,recall_random,recall_masked_wt,recall_mutant_marg,recall_seq_loglik
"Cui et al, 2021 (NanoPET)",85,0.0,1,0.15945304209432562,,0.15945304209432562,0.15945304209432562,,0.15945304209432562,0.20246604680857308,,0.20246604680857308,0.1090625,0.125,0.125,0.0
"Cui et al, 2021 (PET film)",65,0.9846153846153847,11,-0.695599974849051,-0.7976085779913795,-0.7699590983587672,-0.6577317002478077,-0.779558154798993,-0.6929325790630512,-0.4734408881150825,-0.5700851949224691,-0.5716753902994857,0.145,0.0,0.0,0.0
"Nakamura et al, 2021",23,0.30434782608695654,7,0.3530585640518434,-0.19535380001829267,0.4867553554880254,0.2921522479531383,-0.21056827042470175,0.460015997200789,-0.023273145175927965,-0.5647611414859052,0.1574651099137254,0.43875,0.5,0.5,0.0
"Pfaff et al, 2022",29,0.10344827586206896,4,0.3502463054187191,-0.3066594479687896,0.41871921182266003,0.3669950738916255,-0.267511433334476,0.44433497536945804,0.1689655172413793,-0.28056077154591386,0.24039408866995068,0.33416666666666667,0.0,0.33333333333333326,0.33333333333333326
"Zeng et al, 2022",34,1.0,7,-0.0006203687618760324,-0.2633682622400712,0.5346027805466709,-0.14315009180289445,-0.33045263092386296,0.4520937352171586,0.1991383725622064,-0.10062655302568758,0.6012924224483444,0.2783333333333333,0.33333333333333326,0.33333333333333326,0.33333333333333326
