corpus,unit,n,bulk,util_0.01,util_0.1,dead_frac,log_n,dispersion,skew,multi_mut
ProteinGym,A4GRB6_PSEAI_Chen_2020,5004,0.7381724112801877,0.5000427570678371,0.6843026863078816,0.4228617106314948,3.6993173010213822,0.4017835825226239,-0.29217869047986944,0
ProteinGym,AACC1_PSEAI_Dandage_2018,1801,0.4904250313163181,0.3680042461409155,0.2694652094342158,0.5691282620766241,3.2555137128195333,0.2284218828841295,-0.299148843954328,0
ProteinGym,ADRB2_HUMAN_Jones_2020,7800,0.4926051403730678,0.1074085785887151,0.1698330487577086,0.6006410256410256,3.8920946026904804,0.1438984182725468,1.004559477205805,0
ProteinGym,AMIE_PSEAE_Wrenbeck_2017,6227,0.556942598132876,0.208889531682288,0.3421733007977692,0.3815641560944275,3.7942788657214,0.17828091974636526,-0.6103122792806346,0
ProteinGym,B3VI55_LIPST_Klesmith_2015,7890,0.515105345036238,0.3858379896407414,0.5619714600763817,0.40874524714828897,3.89707700320942,0.19839363652798225,-0.5564618258199346,0
ProteinGym,BLAT_ECOLX_Deng_2012,4996,0.5280743598413592,0.3111283603281973,0.4311984863485201,0.5702562049639712,3.6986224297020978,0.29494308194152286,0.2783769710231417,0
ProteinGym,BLAT_ECOLX_Firnberg_2014,4783,0.7371009434707465,0.4345665247384979,0.5809127671688658,0.5682625966966339,3.679700380871964,0.30521091811414386,0.36441124881866827,0
ProteinGym,BLAT_ECOLX_Stiffler_2015,4996,0.7314911964992644,0.6185269451832587,0.725872942185369,0.4855884707766213,3.6986224297020978,0.5608192156541101,-0.2665850366545059,0
ProteinGym,CALM1_HUMAN_Weile_2017,1813,0.2116186037523408,0.1036582497169697,0.176188973468179,0.28295642581356867,3.258397804095509,0.25586639253984006,-0.9966061823634297,0
ProteinGym,CCDB_ECOLI_Tripathi_2016,1663,0.5114693109007278,0.5306616135144943,0.7253441456022859,0.17919422730006013,3.2208922492195193,0.0,-1.9148998772427412,0
ProteinGym,CP2C9_HUMAN_Amorosi_abundance_2021,6370,0.634523636114507,0.4952646997253697,0.6350580727977415,0.3659340659340659,3.8041394323353503,0.2602374525036174,-0.5766260474864704,0
ProteinGym,CP2C9_HUMAN_Amorosi_activity_2021,6142,0.6788932218791972,0.74610152982146,0.7255870902918288,0.48990556821882125,3.78830981210705,0.5298590826418653,0.06685151884159367,0
ProteinGym,DYR_ECOLI_Thompson_plusLon_2019,2363,0.4800274624687618,0.0502602980805991,0.3882866410283965,0.22683030046550995,3.373463721632369,0.120902847352942,-1.3263403370616877,0
ProteinGym,ESTA_BACSU_Nutschel_2020,2172,0.2995262804607824,0.1937755081822643,0.296833266626442,0.4143646408839779,3.336859820916809,0.20802005012531338,-0.1912426994990308,0
ProteinGym,I6TAH8_I68A0_Doud_2015,9462,0.0204211999648447,-0.0160732968325075,7.252204297608188e-05,0.6756499682942295,3.9759829437125465,0.16922256310992545,0.5569033689996741,0
ProteinGym,IF1_ECOLI_Kelsic_2016,1367,0.5986826223110653,0.6048405560464194,0.725876440704797,0.15947329919531822,3.1357685145678222,0.1635496883021636,-1.7072583151743268,0
ProteinGym,KKA2_KLEPN_Melnikov_2014,4960,0.601436317096317,0.3361259371133947,0.3942632820981662,0.5721774193548387,3.6954816764901977,0.34708918887243356,0.6707493304880426,0
ProteinGym,MK01_HUMAN_Brenan_2016,6809,0.1781804037602873,0.0493712782675423,-0.0098957853763225,0.351299750330445,3.833083334178343,0.11066419726289183,-0.46620307356141677,0
ProteinGym,MTH3_HAEAE_Rockah-Shmuel_2015,1777,0.5269897702467963,0.3180775267146082,0.3061745219078192,0.5092853123241418,3.2496874278053016,0.5735294117647058,0.17289986091596646,0
ProteinGym,NCAP_I34A1_Doud_2015,9462,0.0277928497662314,0.0304566534996504,-0.0247996099984959,0.6034664975692242,3.9759829437125465,0.20892399333483574,0.4762747871666481,0
ProteinGym,NUD15_HUMAN_Suiter_2020,2844,0.5255896253092035,0.3423938246892362,0.4815955989128855,0.41244725738396626,3.4539295920577286,0.5374354296267648,-0.18575425267796447,0
ProteinGym,P53_HUMAN_Giacomelli_NULL_Etoposide_2018,7467,0.4323385599158205,0.1889317563325014,0.2998631018481469,0.25900629436185885,3.8731461513282555,0.1911955383754158,-0.8606971137725498,0
ProteinGym,P53_HUMAN_Giacomelli_NULL_Nutlin_2018,7467,0.404268802002792,0.0133363014583343,0.1153612508099128,0.48386232757466185,3.8731461513282555,0.16238161799372586,0.46335011573982965,0
ProteinGym,P53_HUMAN_Giacomelli_WT_Nutlin_2018,7467,0.4001512546738284,0.0600233080519708,0.1831899082431103,0.39279496451051293,3.8731461513282555,0.1900264633157635,-0.2666840226091612,0
ProteinGym,P84126_THETH_Chan_2017,1519,0.6046739267075025,0.7557213422286403,0.708568439407213,0.5734035549703752,3.1815577738627865,0.36940654524783234,0.240372949395489,0
ProteinGym,PTEN_HUMAN_Matreyek_2021,5083,0.4650303765193299,0.2930572735496056,0.4100958371390303,0.36002360810544953,3.7061201097027037,0.24248112768584573,-0.38628421663032503,0
ProteinGym,PTEN_HUMAN_Mighell_2018,7260,0.5185316521668099,0.3589033740821591,0.4477645871780672,0.23319559228650139,3.8609366207000937,0.19451519535549344,-1.0817923382453007,0
ProteinGym,R1AB_SARS2_Flynn_growth_2022,5725,0.104755303882312,-0.3003811228919384,-0.0569523889543564,0.3451528384279476,3.7577754910119254,0.7291585178554935,-0.636683581474529,0
ProteinGym,RASH_HUMAN_Bandaru_2017,3134,0.4975791061453566,0.2525887593585612,0.3899814349240033,0.32035737077217613,3.496098992132571,0.0954246598974089,0.2291618544687214,0
ProteinGym,REV_HV1H2_Fernandes_2016,2147,0.2403830239686021,0.1373025333855813,0.2387616871669012,0.3032137866790871,3.331832044436249,0.17328613042421298,-0.46286113608629587,0
ProteinGym,RL401_YEAST_Mavor_2016,1253,0.5178520925871771,0.5517452266044672,0.6352660137347459,0.29608938547486036,3.09795107099415,0.3798774366788378,-0.839443253142258,0
ProteinGym,RL401_YEAST_Roscoe_2014,1380,0.5300172230531615,0.5925303311435356,0.721483964768314,0.25,3.1398790864012365,0.15056424158769452,-1.4711651861699768,0
ProteinGym,SUMO1_HUMAN_Weile_2017,1700,0.5093076909878026,0.3113191878477418,0.4693419922290289,0.43941176470588234,3.230448921378274,0.27319185483038994,-0.05795031499681152,0
ProteinGym,SYUA_HUMAN_Newberry_2020,2497,0.1372572280738241,-0.2082753660893002,0.0961750906065594,0.11854225070084101,3.397418542351348,0.11979256582934139,-2.0908100190612178,0
ProteinGym,TAT_HV1BR_Fernandes_2016,1577,0.0174392293623376,0.1704290807720946,0.0001909217070713,0.3443246670894103,3.197831693328903,0.16280936659767323,-0.02602111906359284,0
ProteinGym,TPK1_HUMAN_Weile_2017,3181,0.338596242191224,0.1495626407092486,0.2324919341517087,0.6240176045268784,3.502563669107363,0.23365722353436796,0.6622105379137537,0
ProteinGym,TPMT_HUMAN_Matreyek_2018,3648,0.5386584743980068,0.1978911269209119,0.3852990889072978,0.2864583333333333,3.5620548296563785,0.1473815727589375,-0.691910701738196,0
ProteinGym,TRPC_SACS2_Chan_2017,1519,0.6525339432224486,0.7815205429005566,0.7222305559137746,0.641211323238973,3.1815577738627865,0.21538338240448487,0.4120482329556317,0
ProteinGym,TRPC_THEMA_Chan_2017,1519,0.463698649141996,0.4168926632320536,0.4844840024166909,0.7524687294272547,3.1815577738627865,0.1681271119531358,1.2771226640325577,0
ProteinGym,UBC9_HUMAN_Weile_2017,2563,0.4725845029403409,0.0305537749728812,0.2253100802648293,0.5696449473273507,3.408748606184244,0.14090225369358902,1.1811492074812142,0
ProteinGym,VKOR1_HUMAN_Chiasson_abundance_2020,2695,0.4933003567175601,0.4487601269934074,0.529955204971655,0.3836734693877551,3.4305587695227575,0.2754437879773023,-0.5925846918270526,0
SSMuLA,DHFR,8000,0.3971793689387237,0.6625283294895339,0.7421032546293255,0.92825,3.9030899869919438,0.014486751558361726,3.4356867962192865,1
SSMuLA,GB1,149361,0.1400873661118109,0.069500095054499,0.1677906767229674,0.9798273980490222,5.174237212634033,0.0008692024482867933,7.926741509594663,1
SSMuLA,ParD2,7882,0.5120166543927807,0.4920389933747773,0.4607609975856184,0.743212382643999,3.8966364305295844,0.2877963861934913,1.0982510562713181,1
SSMuLA,ParD3,7882,0.5101468218303047,0.4760132518989741,0.4182940893749868,0.6986805379345343,3.8966364305295844,0.2969104045426634,0.7071138100485377,1
SSMuLA,T7,6725,0.0412410571086063,0.1408613737445877,0.0534285970116905,0.4678066914498141,3.8276922886744456,0.32086111544390034,0.36204133978051234,1
SSMuLA,TEV,159132,0.1220744050646894,0.3377471992919564,0.2507649289092787,0.011839227810873992,5.2017575211048115,0.02119026369885079,-3.0036314889874722,1
SSMuLA,TrpB3A,7971,0.1869509238859429,0.4355486435772506,0.2793097693983305,0.5016936394429808,3.90151280912994,0.033497425349295736,2.47096117407457,1
SSMuLA,TrpB3B,7996,0.0427726803885975,0.1881094016562628,0.0820646310662895,0.48949474737368687,3.902872785446079,0.025473303238874475,2.961654750709108,1
SSMuLA,TrpB3C,7994,0.1021681172262061,0.2579339726262274,0.1199707753244448,0.45809357017763325,3.902764143924086,0.052063828891005214,0.1496894928846429,1
SSMuLA,TrpB3D,7763,0.2612203629304412,0.4458630757725901,0.488350873870335,0.9619992271029242,3.890029586163417,0.030945302863026578,4.198781590062774,1
SSMuLA,TrpB3E,7964,0.0488728045443962,0.689280014892059,0.2448824644161365,0.9986187845303868,3.901131251355372,0.016351807667444086,13.80861833912497,1
SSMuLA,TrpB3F,7737,0.123512368922532,0.7136882341415007,0.392061273379484,0.42988238335272067,3.8885725968576,0.02935929550339212,1.8445383163323834,1
SSMuLA,TrpB3G,7891,0.0680690044402233,0.6971824545861405,0.5073462913153185,0.9965783804334052,3.8971320433820944,0.01832317101001846,7.913173636927306,1
SSMuLA,TrpB3H,7716,-0.0290576484179251,0.540422509637706,0.1479258478734218,0.9993519958527735,3.887392218971847,0.01679061792047169,15.190397869776897,1
