corpus,unit,n,bulk,util_0.01,util_0.1,top_separation,tie_frac,score_skew,score_kurtosis,iqr_over_range
ProteinGym,A4GRB6_PSEAI_Chen_2020,5004,0.7381724112801877,0.5000427570678371,0.6843026863078816,1.120607651843257,0.0,-0.5242965981690271,-0.4927207926926007,0.2601374038742838
ProteinGym,AACC1_PSEAI_Dandage_2018,1801,0.4904250313163181,0.3680042461409155,0.2694652094342158,1.159946870094468,0.0,-0.6158240437672875,-0.29429775761985866,0.26059565926229633
ProteinGym,ADRB2_HUMAN_Jones_2020,7800,0.4926051403730678,0.1074085785887151,0.1698330487577086,0.9777081630129382,0.0,-0.8196776868422724,-0.18749339378764818,0.22946658855338817
ProteinGym,AMIE_PSEAE_Wrenbeck_2017,6227,0.556942598132876,0.208889531682288,0.3421733007977692,1.137237401925304,0.0003211819495744339,-0.7962781110299788,0.06318559956634884,0.2099303673163513
ProteinGym,B3VI55_LIPST_Klesmith_2015,7890,0.515105345036238,0.3858379896407414,0.5619714600763817,1.3008362313280561,0.00025348542458808617,-0.2354736605918009,-0.6748296850347062,0.27367384701211844
ProteinGym,BLAT_ECOLX_Deng_2012,4996,0.5280743598413592,0.3111283603281973,0.4311984863485201,1.3573786173850197,0.0,-0.09669561737193096,-0.669493743861727,0.2582240364640354
ProteinGym,BLAT_ECOLX_Firnberg_2014,4783,0.7371009434707465,0.4345665247384979,0.5809127671688658,1.3595348942037633,0.0,-0.09390533027315184,-0.6697301093677273,0.2563367480306436
ProteinGym,BLAT_ECOLX_Stiffler_2015,4996,0.7314911964992644,0.6185269451832587,0.725872942185369,1.3573786173850197,0.0,-0.09669561737193096,-0.669493743861727,0.2582240364640354
ProteinGym,CALM1_HUMAN_Weile_2017,1813,0.2116186037523408,0.1036582497169697,0.176188973468179,1.2515658750284127,0.0,-0.29126270254812586,-0.6437194038554712,0.28279508075702453
ProteinGym,CCDB_ECOLI_Tripathi_2016,1663,0.5114693109007278,0.5306616135144943,0.7253441456022859,1.4073891231123399,0.0,-0.5070862257700747,-0.21350434599483314,0.22693984729074923
ProteinGym,CP2C9_HUMAN_Amorosi_abundance_2021,6370,0.634523636114507,0.4952646997253697,0.6350580727977415,1.6731671968146176,0.0006279434850863422,-0.11826115417329155,-0.3686953591653408,0.2100114791115888
ProteinGym,CP2C9_HUMAN_Amorosi_activity_2021,6142,0.6788932218791972,0.74610152982146,0.7255870902918288,1.6584789305979941,0.0009768804949527841,-0.10776762574389982,-0.39005348643803295,0.2063264828392738
ProteinGym,DYR_ECOLI_Thompson_plusLon_2019,2363,0.4800274624687618,0.0502602980805991,0.3882866410283965,1.4416718194340705,0.0,-0.2342302863222344,-0.45815652993807054,0.24077525706406908
ProteinGym,ESTA_BACSU_Nutschel_2020,2172,0.2995262804607824,0.1937755081822643,0.296833266626442,1.4802029223756634,0.0,-0.7170039097579071,0.41336364042158413,0.192252296590971
ProteinGym,I6TAH8_I68A0_Doud_2015,9462,0.0204211999648447,-0.0160732968325075,7.252204297608188e-05,2.1234565111927224,0.001056859015007398,-2.6928626352935714,17.015157505227588,0.07057378814945763
ProteinGym,IF1_ECOLI_Kelsic_2016,1367,0.5986826223110653,0.6048405560464194,0.725876440704797,1.721242335191083,0.001463057790782736,0.15417886635195546,-0.5410626682727324,0.26883273437045735
ProteinGym,KKA2_KLEPN_Melnikov_2014,4960,0.601436317096317,0.3361259371133947,0.3942632820981662,1.370655441533044,0.0004032258064516129,-0.46638199136207104,-0.24165924860662447,0.2341962266264308
ProteinGym,MK01_HUMAN_Brenan_2016,6809,0.1781804037602873,0.0493712782675423,-0.0098957853763225,1.270211170072069,0.0,-0.21910433274655908,-0.7713112376360387,0.2798388853540281
ProteinGym,MTH3_HAEAE_Rockah-Shmuel_2015,1777,0.5269897702467963,0.3180775267146082,0.3061745219078192,1.2057088245627652,0.0,-0.6513113855581715,-0.26086820481253303,0.2464787096493882
ProteinGym,NCAP_I34A1_Doud_2015,9462,0.0277928497662314,0.0304566534996504,-0.0247996099984959,2.162351087677004,0.001056859015007398,-2.6225335574791266,16.825568485203007,0.07094809100423147
ProteinGym,NUD15_HUMAN_Suiter_2020,2844,0.5255896253092035,0.3423938246892362,0.4815955989128855,1.225261813708232,0.0,-0.7242389332352012,-0.018540256100396668,0.19798030709466832
ProteinGym,P53_HUMAN_Giacomelli_NULL_Etoposide_2018,7467,0.4323385599158205,0.1889317563325014,0.2998631018481469,1.2412284984208024,0.0,-0.8920072445377136,0.42110772016408005,0.18839411463538183
ProteinGym,P53_HUMAN_Giacomelli_NULL_Nutlin_2018,7467,0.404268802002792,0.0133363014583343,0.1153612508099128,1.2412284984208024,0.0,-0.8920072445377136,0.42110772016408005,0.18839411463538183
ProteinGym,P53_HUMAN_Giacomelli_WT_Nutlin_2018,7467,0.4001512546738284,0.0600233080519708,0.1831899082431103,1.2412284984208024,0.0,-0.8920072445377136,0.42110772016408005,0.18839411463538183
ProteinGym,P84126_THETH_Chan_2017,1519,0.6046739267075025,0.7557213422286403,0.708568439407213,1.7872205959207548,0.0,0.2894191540503765,-0.508712046265849,0.2857703767104489
ProteinGym,PTEN_HUMAN_Matreyek_2021,5083,0.4650303765193299,0.2930572735496056,0.4100958371390303,1.4222119163499265,0.0,0.17593538541230686,-0.9336684376915496,0.31750883277611003
ProteinGym,PTEN_HUMAN_Mighell_2018,7260,0.5185316521668099,0.3589033740821591,0.4477645871780672,1.4151214537753276,0.0002754820936639118,0.16202176443837535,-0.9351630707786911,0.2938595164730839
ProteinGym,R1AB_SARS2_Flynn_growth_2022,5725,0.104755303882312,-0.3003811228919384,-0.0569523889543564,2.1464348876257167,0.0,-2.113607990381006,7.3891646470526755,0.08164729157345417
ProteinGym,RASH_HUMAN_Bandaru_2017,3134,0.4975791061453566,0.2525887593585612,0.3899814349240033,1.4675274796578175,0.0006381620931716656,0.0576232599048832,-0.7531859159762582,0.2733065737065595
ProteinGym,REV_HV1H2_Fernandes_2016,2147,0.2403830239686021,0.1373025333855813,0.2387616871669012,2.29222467930047,0.0,0.4058496548721514,0.3272526660388624,0.19214164548111867
ProteinGym,RL401_YEAST_Mavor_2016,1253,0.5178520925871771,0.5517452266044672,0.6352660137347459,1.7288208542739825,0.0,0.07203721235472028,-0.37125187239027824,0.24942281215141368
ProteinGym,RL401_YEAST_Roscoe_2014,1380,0.5300172230531615,0.5925303311435356,0.721483964768314,1.794505459939582,0.0,0.13272993072275635,-0.40121523281401306,0.24838299790918472
ProteinGym,SUMO1_HUMAN_Weile_2017,1700,0.5093076909878026,0.3113191878477418,0.4693419922290289,1.5970939857419326,0.0,-0.04295934097369653,-0.4754206815084183,0.25992321262496737
ProteinGym,SYUA_HUMAN_Newberry_2020,2497,0.1372572280738241,-0.2082753660893002,0.0961750906065594,1.3821231983039572,0.0,-0.6076389454977321,-0.07871050714147776,0.22577836676179627
ProteinGym,TAT_HV1BR_Fernandes_2016,1577,0.0174392293623376,0.1704290807720946,0.0001909217070713,1.8964686260825931,0.0,-1.2077029949581117,4.304981493764118,0.13452802284861873
ProteinGym,TPK1_HUMAN_Weile_2017,3181,0.338596242191224,0.1495626407092486,0.2324919341517087,2.387038294727526,0.0006287331027978623,0.5023576565425312,0.18760067411085535,0.2020684958060563
ProteinGym,TPMT_HUMAN_Matreyek_2018,3648,0.5386584743980068,0.1978911269209119,0.3852990889072978,1.4741828640933636,0.0005482456140350877,-0.13709220261980024,-0.6176555007383717,0.2506713224015162
ProteinGym,TRPC_SACS2_Chan_2017,1519,0.6525339432224486,0.7815205429005566,0.7222305559137746,1.5724157740935292,0.0,0.034830748714557644,-0.7119144903104475,0.28252822914833065
ProteinGym,TRPC_THEMA_Chan_2017,1519,0.463698649141996,0.4168926632320536,0.4844840024166909,1.421938709782132,0.0,-0.01986517610484332,-0.7936977804746532,0.29984072659619576
ProteinGym,UBC9_HUMAN_Weile_2017,2563,0.4725845029403409,0.0305537749728812,0.2253100802648293,1.3125785295302603,0.0,-0.49706539860649673,-0.31686780326542774,0.23899703249836668
ProteinGym,VKOR1_HUMAN_Chiasson_abundance_2020,2695,0.4933003567175601,0.4487601269934074,0.529955204971655,1.1581417006847339,0.0007421150278293135,-0.40409092200980457,-0.5822910776441401,0.26861011600259166
SSMuLA,DHFR,8000,0.3971793689387237,0.6625283294895339,0.7421032546293255,2.4970578837928596,0.00025,0.5038220370382757,0.4544533242675981,0.18707953730073354
SSMuLA,GB1,149361,0.1400873661118109,0.069500095054499,0.1677906767229674,1.9573462860746256,0.002986053923045507,0.10809204071547523,-0.1748562980540198,0.19125518852816076
SSMuLA,ParD2,7882,0.5120166543927807,0.4920389933747773,0.4607609975856184,1.6563887145246594,0.0,-0.22345177361589316,-0.13839572779593734,0.20221800061787756
SSMuLA,ParD3,7882,0.5101468218303047,0.4760132518989741,0.4182940893749868,1.853746164625858,0.0,-0.0048599275409036,-0.2215497122454404,0.2143982838486681
SSMuLA,T7,6725,0.0412410571086063,0.1408613737445877,0.0534285970116905,2.3813167613252357,0.00029739776951672863,0.41641955186059987,0.2206647054087596,0.18258420998251326
SSMuLA,TEV,159132,0.1220744050646894,0.3377471992919564,0.2507649289092787,2.9559767025905908,0.002966091043913229,0.9418463903110124,1.08275094555475,0.14494018663461194
SSMuLA,TrpB3A,7971,0.1869509238859429,0.4355486435772506,0.2793097693983305,2.7910393091844368,0.0,0.8200239726745552,0.8263285753915475,0.16695362446166767
SSMuLA,TrpB3B,7996,0.0427726803885975,0.1881094016562628,0.0820646310662895,3.1782142045781683,0.0,0.982494722579131,1.2772751623712866,0.14796791675021806
SSMuLA,TrpB3C,7994,0.1021681172262061,0.2579339726262274,0.1199707753244448,3.9453442051979137,0.0002501876407305479,1.2602087673521394,1.8867078030275355,0.12314344905722076
SSMuLA,TrpB3D,7763,0.2612203629304412,0.4458630757725901,0.488350873870335,2.035618597139584,0.0,0.3235577388252191,-0.19288493224002723,0.2301458009521916
