corpus,unit,n,bulk,util_0.01,util_0.1
ProteinGym,A4GRB6_PSEAI_Chen_2020,5004,0.7381724112801877,0.5000427570678371,0.6843026863078816
ProteinGym,AACC1_PSEAI_Dandage_2018,1801,0.4904250313163181,0.3680042461409155,0.2694652094342158
ProteinGym,ADRB2_HUMAN_Jones_2020,7800,0.4926051403730678,0.1074085785887151,0.16983304875770863
ProteinGym,AMIE_PSEAE_Wrenbeck_2017,6227,0.556942598132876,0.208889531682288,0.34217330079776925
ProteinGym,B3VI55_LIPST_Klesmith_2015,7890,0.515105345036238,0.38583798964074145,0.5619714600763817
ProteinGym,BLAT_ECOLX_Deng_2012,4996,0.5280743598413592,0.31112836032819735,0.43119848634852015
ProteinGym,BLAT_ECOLX_Firnberg_2014,4783,0.7371009434707465,0.4345665247384979,0.5809127671688658
ProteinGym,BLAT_ECOLX_Stiffler_2015,4996,0.7314911964992644,0.6185269451832587,0.725872942185369
ProteinGym,CALM1_HUMAN_Weile_2017,1813,0.21161860375234082,0.10365824971696978,0.176188973468179
ProteinGym,CCDB_ECOLI_Tripathi_2016,1663,0.5114693109007278,0.5306616135144943,0.7253441456022859
ProteinGym,CP2C9_HUMAN_Amorosi_abundance_2021,6370,0.634523636114507,0.49526469972536974,0.6350580727977415
ProteinGym,CP2C9_HUMAN_Amorosi_activity_2021,6142,0.6788932218791972,0.74610152982146,0.7255870902918288
ProteinGym,DYR_ECOLI_Thompson_plusLon_2019,2363,0.4800274624687618,0.050260298080599106,0.3882866410283965
ProteinGym,ESTA_BACSU_Nutschel_2020,2172,0.2995262804607824,0.19377550818226436,0.29683326662644205
ProteinGym,I6TAH8_I68A0_Doud_2015,9462,0.020421199964844733,-0.016073296832507585,7.252204297608188e-05
ProteinGym,IF1_ECOLI_Kelsic_2016,1367,0.5986826223110653,0.6048405560464194,0.725876440704797
ProteinGym,KKA2_KLEPN_Melnikov_2014,4960,0.601436317096317,0.3361259371133947,0.39426328209816625
ProteinGym,MK01_HUMAN_Brenan_2016,6809,0.1781804037602873,0.04937127826754233,-0.009895785376322542
ProteinGym,MTH3_HAEAE_Rockah-Shmuel_2015,1777,0.5269897702467963,0.3180775267146082,0.30617452190781924
ProteinGym,NCAP_I34A1_Doud_2015,9462,0.027792849766231444,0.030456653499650484,-0.024799609998495967
ProteinGym,NUD15_HUMAN_Suiter_2020,2844,0.5255896253092035,0.3423938246892362,0.4815955989128855
ProteinGym,P53_HUMAN_Giacomelli_NULL_Etoposide_2018,7467,0.4323385599158205,0.18893175633250145,0.29986310184814696
ProteinGym,P53_HUMAN_Giacomelli_NULL_Nutlin_2018,7467,0.404268802002792,0.013336301458334355,0.11536125080991289
ProteinGym,P53_HUMAN_Giacomelli_WT_Nutlin_2018,7467,0.40015125467382845,0.06002330805197082,0.18318990824311038
ProteinGym,P84126_THETH_Chan_2017,1519,0.6046739267075025,0.7557213422286403,0.708568439407213
ProteinGym,PTEN_HUMAN_Matreyek_2021,5083,0.46503037651932994,0.29305727354960565,0.41009583713903036
ProteinGym,PTEN_HUMAN_Mighell_2018,7260,0.5185316521668099,0.35890337408215917,0.4477645871780672
ProteinGym,R1AB_SARS2_Flynn_growth_2022,5725,0.10475530388231208,-0.3003811228919384,-0.056952388954356406
ProteinGym,RASH_HUMAN_Bandaru_2017,3134,0.4975791061453566,0.2525887593585612,0.3899814349240033
