assay,seed,scorer,gate_auroc,passes_gate,true_yield,random_yield
A4GRB6_PSEAI_Chen_2020,10,leaked_25pct,0.4465116279069768,False,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,10,leaked_50pct,0.6651162790697674,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,10,leaked_75pct,0.8744186046511627,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,11,honest_zero_shot,0.7209302325581395,True,5.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,11,leaked_full,1.0,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,11,leaked_25pct,0.8511627906976744,True,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,11,leaked_50pct,0.6511627906976745,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,11,leaked_75pct,0.8604651162790697,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,12,honest_zero_shot,0.7953488372093023,True,5.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,12,leaked_full,1.0,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,12,leaked_25pct,0.6325581395348837,True,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,12,leaked_50pct,0.8837209302325582,True,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,12,leaked_75pct,0.8558139534883721,True,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,13,honest_zero_shot,0.7116279069767442,True,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,13,leaked_full,1.0,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,13,leaked_25pct,0.827906976744186,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,13,leaked_50pct,0.7767441860465116,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,13,leaked_75pct,0.8790697674418605,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,14,honest_zero_shot,0.6883720930232557,True,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,14,leaked_full,1.0,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,14,leaked_25pct,0.7255813953488373,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,14,leaked_50pct,0.7953488372093023,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,14,leaked_75pct,0.8418604651162791,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,15,honest_zero_shot,0.7906976744186046,True,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,15,leaked_full,1.0,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,15,leaked_25pct,0.6697674418604651,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,15,leaked_50pct,0.8325581395348838,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,15,leaked_75pct,0.9302325581395349,True,2.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,16,honest_zero_shot,0.8697674418604651,True,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,16,leaked_full,1.0,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,16,leaked_25pct,0.5627906976744186,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,16,leaked_50pct,0.7813953488372094,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,16,leaked_75pct,0.8837209302325582,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,17,honest_zero_shot,0.8651162790697674,True,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,17,leaked_full,1.0,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,17,leaked_25pct,0.6651162790697674,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,17,leaked_50pct,0.827906976744186,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,17,leaked_75pct,0.9674418604651164,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,18,honest_zero_shot,0.7395348837209303,True,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,18,leaked_full,1.0,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,18,leaked_25pct,0.5953488372093023,True,2.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,18,leaked_50pct,0.7488372093023256,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,18,leaked_75pct,0.8883720930232557,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,19,honest_zero_shot,0.8558139534883721,True,5.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,19,leaked_full,1.0,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,19,leaked_25pct,0.6930232558139535,True,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,19,leaked_50pct,0.786046511627907,True,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,19,leaked_75pct,0.9162790697674419,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,20,honest_zero_shot,0.758139534883721,True,5.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,20,leaked_full,1.0,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,20,leaked_25pct,0.6186046511627907,True,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,20,leaked_50pct,0.7348837209302326,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,20,leaked_75pct,0.958139534883721,True,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,21,honest_zero_shot,0.7767441860465116,True,5.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,21,leaked_full,1.0,True,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,21,leaked_25pct,0.6976744186046512,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,21,leaked_50pct,0.8186046511627907,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,21,leaked_75pct,0.9162790697674419,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,22,honest_zero_shot,0.8372093023255814,True,4.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,22,leaked_full,1.0,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,22,leaked_25pct,0.6186046511627906,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,22,leaked_50pct,0.6046511627906976,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,22,leaked_75pct,0.9255813953488372,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,23,honest_zero_shot,0.8697674418604651,True,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,23,leaked_full,1.0,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,23,leaked_25pct,0.5395348837209303,False,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,23,leaked_50pct,0.7488372093023257,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,23,leaked_75pct,0.8093023255813954,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,24,honest_zero_shot,0.9209302325581395,True,5.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,24,leaked_full,1.0,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,24,leaked_25pct,0.758139534883721,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,24,leaked_50pct,0.7674418604651163,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,24,leaked_75pct,0.9488372093023256,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,25,honest_zero_shot,0.8465116279069768,True,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,25,leaked_full,1.0,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,25,leaked_25pct,0.4790697674418605,False,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,25,leaked_50pct,0.8372093023255816,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,25,leaked_75pct,0.8790697674418605,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,26,honest_zero_shot,0.7395348837209302,True,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,26,leaked_full,1.0,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,26,leaked_25pct,0.7534883720930233,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,26,leaked_50pct,0.7116279069767442,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,26,leaked_75pct,0.9720930232558139,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,27,honest_zero_shot,0.7813953488372093,True,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,27,leaked_full,1.0,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,27,leaked_25pct,0.8,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,27,leaked_50pct,0.9302325581395349,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,27,leaked_75pct,0.8930232558139535,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,28,honest_zero_shot,0.8558139534883721,True,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,28,leaked_full,1.0,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,28,leaked_25pct,0.5767441860465117,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,28,leaked_50pct,0.9255813953488372,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,28,leaked_75pct,0.9441860465116279,True,2.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,29,honest_zero_shot,0.7953488372093024,True,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,29,leaked_full,1.0,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,29,leaked_25pct,0.5534883720930233,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,29,leaked_50pct,0.8232558139534883,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,29,leaked_75pct,0.9627906976744187,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,30,honest_zero_shot,0.8930232558139535,True,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,30,leaked_full,1.0,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,30,leaked_25pct,0.6558139534883721,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,30,leaked_50pct,0.7813953488372093,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,30,leaked_75pct,0.8418604651162791,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,31,honest_zero_shot,0.5302325581395348,False,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,31,leaked_full,1.0,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,31,leaked_25pct,0.5953488372093023,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,31,leaked_50pct,0.8093023255813954,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,31,leaked_75pct,0.9534883720930233,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,32,honest_zero_shot,0.8093023255813954,True,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,32,leaked_full,1.0,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,32,leaked_25pct,0.7069767441860465,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,32,leaked_50pct,0.641860465116279,True,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,32,leaked_75pct,0.9069767441860466,True,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,33,honest_zero_shot,0.8325581395348838,True,5.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,33,leaked_full,1.0,True,2.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,33,leaked_25pct,0.7488372093023256,True,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,33,leaked_50pct,0.8651162790697675,True,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,33,leaked_75pct,0.9813953488372094,True,0.0,0.4745762711864407
