assay,condition,max_k,rho_sum,rho_per_mut,rho_k_vs_truth,rho_k_vs_esm
A4GRB6_PSEAI_Chen_2020,beneficial,1,0.2077757731465839,0.2077757731465839,,
A4GRB6_PSEAI_Chen_2020,beneficial,2,0.07274706300065913,0.15352918750834676,0.28157786488178577,-0.37340920653693893
A4GRB6_PSEAI_Chen_2020,beneficial,3,-0.04883995468716117,0.11856886807194723,0.4318451335576775,-0.43785849152668416
A4GRB6_PSEAI_Chen_2020,beneficial,4,-0.15876073854963252,0.06940484114658366,0.4836050677976644,-0.5341463069890059
A4GRB6_PSEAI_Chen_2020,beneficial,5,-0.22432935671277848,0.06642174647090288,0.5380427746384117,-0.5711047689052481
A4GRB6_PSEAI_Chen_2020,beneficial,6,-0.28330622334377575,0.05443627778148061,0.579237106819446,-0.6093270671606288
A4GRB6_PSEAI_Chen_2020,random,1,0.7432502314704571,0.7432502314704571,,
A4GRB6_PSEAI_Chen_2020,random,2,0.7616243049538943,0.7002569035625389,-0.2809930068586177,-0.40270215568596446
A4GRB6_PSEAI_Chen_2020,random,3,0.79398888307515,0.6547411069622038,-0.4349268097938288,-0.5379140041004105
A4GRB6_PSEAI_Chen_2020,random,4,0.8207534951903916,0.6063030599948038,-0.5365850078327477,-0.6295184725001576
A4GRB6_PSEAI_Chen_2020,random,5,0.8427691732772161,0.5783993443054304,-0.6120902112686264,-0.7141843445965846
A4GRB6_PSEAI_Chen_2020,random,6,0.8576990882691078,0.5515852904744529,-0.6450446744764705,-0.7507463658280946
AMIE_PSEAE_Wrenbeck_2017,beneficial,1,-0.11130835014925888,-0.11130835014925888,,
AMIE_PSEAE_Wrenbeck_2017,beneficial,2,-0.13761560570536693,-0.10134324768498047,0.20939999540102938,-0.2598946718928842
AMIE_PSEAE_Wrenbeck_2017,beneficial,3,-0.16039088112898725,-0.07928427256113081,0.31547890179465504,-0.41062895030412
AMIE_PSEAE_Wrenbeck_2017,beneficial,4,-0.21133711312035874,-0.0709752062367158,0.3900120148744968,-0.48492671421505806
AMIE_PSEAE_Wrenbeck_2017,beneficial,5,-0.24525204093897598,-0.06164031431863076,0.4538308618722151,-0.5145319499087393
AMIE_PSEAE_Wrenbeck_2017,beneficial,6,-0.2933567573332823,-0.06161963184813827,0.5076858330686823,-0.5557446294647875
AMIE_PSEAE_Wrenbeck_2017,random,1,0.5386773817644565,0.5386773817644565,,
AMIE_PSEAE_Wrenbeck_2017,random,2,0.6167052228962236,0.5592883188877709,-0.26781866264734183,-0.3497987858313415
