assay,seed,scorer,naive_gate,forward_gate,naive_pass,forward_pass,yield,yield_with_audit,random_yield
A4GRB6_PSEAI_Chen_2020,13,pool_side,0.7116279069767442,0.7157894736842105,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,14,honest,0.6883720930232557,0.8631578947368421,True,True,5.0,4.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,14,adaptive_leak,0.8697674418604651,0.5368421052631579,True,False,2.0,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,14,pool_side,0.6883720930232557,0.8631578947368421,True,True,0.0,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,15,honest,0.7906976744186046,0.7894736842105263,True,True,5.0,4.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,15,adaptive_leak,0.9488372093023255,0.8105263157894737,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,15,pool_side,0.7906976744186046,0.7894736842105263,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,16,honest,0.8697674418604651,0.8105263157894737,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,16,adaptive_leak,0.772093023255814,0.6631578947368422,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,16,pool_side,0.8697674418604651,0.8105263157894737,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,17,honest,0.8651162790697674,0.6105263157894737,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,17,adaptive_leak,0.8232558139534883,0.5473684210526316,True,False,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,17,pool_side,0.8651162790697674,0.6105263157894737,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,18,honest,0.7395348837209303,0.8631578947368421,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,18,adaptive_leak,0.6162790697674418,0.6578947368421053,True,True,2.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,18,pool_side,0.7395348837209303,0.8631578947368421,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,19,honest,0.8558139534883721,0.9052631578947369,True,True,5.0,3.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,19,adaptive_leak,1.0,0.5842105263157896,True,True,0.0,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,19,pool_side,0.8558139534883721,0.9052631578947369,True,True,2.0,2.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,20,honest,0.758139534883721,0.6842105263157895,True,True,5.0,3.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,20,adaptive_leak,0.7,0.5263157894736842,True,False,0.0,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,20,pool_side,0.758139534883721,0.6842105263157895,True,True,0.0,0.0,0.4745762711864407
