proxy,studies,weighted_mean_rho,median_rho,studies_positive,sign_test_p
n_mut,24,0.25114900970132353,0.30316753053853474,17,0.06391465663909912
hydropathy,24,0.041669648711361404,0.09429777675086418,15,0.30745625495910645
esm2_wtm,24,0.007247808413980779,0.034355344704336856,13,0.8388197422027588
blosum62,24,-0.10483146381658012,0.00864229689212118,13,0.8388197422027588
