qbcov_max,n,target,proxy,rho,p,rho_partial_wt_logp
none,8760,vmax,esm2_wtm,0.6306755101203587,0.0,0.4658098113408111
none,8760,vmax,wt_logp,-0.48144518151394106,0.0,-0.00012202211383026754
none,8760,vmax,blosum62,0.2653390763749187,4.624743911306052e-141,0.2741473019228636
none,8760,vmax,hydropathy,0.08948165293556648,4.8340336748316354e-17,0.13537800643975653
none,8760,kc_affinity,esm2_wtm,0.49316223784228586,0.0,0.34608770044572246
none,8760,kc_affinity,wt_logp,-0.37527123498421033,4.918082994870855e-291,-4.097509925373886e-05
none,8760,kc_affinity,blosum62,0.2020551339594215,2.2503727863142095e-81,0.19690966467869214
none,8760,kc_affinity,hydropathy,0.06959925714943607,6.97878741595316e-11,0.09961986724620689
none,8760,fitness,esm2_wtm,0.6705238432998007,0.0,0.5066606346601794
none,8760,fitness,wt_logp,-0.510658974003321,0.0,-0.00013034015080542506
none,8760,fitness,blosum62,0.27547040466177847,2.54954202180691e-152,0.28947553454612124
none,8760,fitness,hydropathy,0.10330709419102035,3.210759414801127e-22,0.15616321098453706
1.0,5661,vmax,esm2_wtm,0.403852046200703,4.2557069424906736e-221,0.28423568711300273
1.0,5661,vmax,wt_logp,-0.299233540124204,1.8898894677143045e-117,-0.00010187217388546113
1.0,5661,vmax,blosum62,0.1906451251714932,1.772979748190501e-47,0.20852851805975797
1.0,5661,vmax,hydropathy,-0.009249438591408058,0.48656322182042755,-0.012927543633226832
1.0,5661,kc_affinity,esm2_wtm,0.43661985096395034,2.998352150915435e-262,0.33140639685771006
1.0,5661,kc_affinity,wt_logp,-0.30297549510407934,1.6820913379259268e-120,6.411053309921688e-05
1.0,5661,kc_affinity,blosum62,0.19312669591473347,1.0668651643369659e-48,0.21150034515041163
1.0,5661,kc_affinity,hydropathy,0.0007423472382665969,0.9554679982498231,-0.0024989205507478674
1.0,5661,fitness,esm2_wtm,0.45092251597599586,1.0885305423870157e-281,0.32680858900884036
1.0,5661,fitness,wt_logp,-0.32883209049850126,7.681554208988116e-143,-8.463105940396598e-05
1.0,5661,fitness,blosum62,0.20078459715958022,1.4285240858012908e-52,0.22229592630522724
1.0,5661,fitness,hydropathy,0.0017376260098477829,0.8960050825868815,-0.0017500554180187877
0.5,4923,vmax,esm2_wtm,0.36446294799268436,1.5673479392912422e-154,0.25866517388311927
0.5,4923,vmax,wt_logp,-0.2658128301778004,2.12769699278971e-80,-0.0003024370096218107
0.5,4923,vmax,blosum62,0.17280159904374212,2.637303248828089e-34,0.1924653581666685
0.5,4923,vmax,hydropathy,-0.03131372815090513,0.02801472145610922,-0.03829279701519088
0.5,4923,kc_affinity,esm2_wtm,0.3664611245181382,2.463399959697546e-156,0.2832386362790627
0.5,4923,kc_affinity,wt_logp,-0.24510255479180046,2.888663632560183e-68,-0.0005450839267979148
0.5,4923,kc_affinity,blosum62,0.16668763322887786,5.252814406022778e-32,0.18405724551978042
0.5,4923,kc_affinity,hydropathy,-0.02840900461079004,0.04624084942759357,-0.03463026809772868
0.5,4923,fitness,esm2_wtm,0.39147742542211234,4.995835564908562e-180,0.2826653523456671
0.5,4923,fitness,wt_logp,-0.28243755246895297,5.886954800067994e-91,-0.00031594075808212064
0.5,4923,fitness,blosum62,0.1769439543660891,6.5167634143121e-36,0.19855718602195516
0.5,4923,fitness,hydropathy,-0.02571891292999154,0.07117106555494117,-0.033013153065619645
