corpus,unit,n,bulk,util_0.01,util_0.1
ProteinGym,A4GRB6_PSEAI_Chen_2020,5004,0.6804512580942536,0.36117637371843503,0.6148448574372748
ProteinGym,AACC1_PSEAI_Dandage_2018,1801,0.5200352532187769,0.3056484218887853,0.3260602824435836
ProteinGym,ADRB2_HUMAN_Jones_2020,7800,0.5395377145813585,0.15190235382493417,0.23899377660909094
ProteinGym,AMIE_PSEAE_Wrenbeck_2017,6227,0.4571961442250055,0.15965359878424626,0.22761434568647998
ProteinGym,B3VI55_LIPST_Klesmith_2015,7890,0.41839447473179564,0.0981873469830239,0.3014640877966829
ProteinGym,BLAT_ECOLX_Deng_2012,4996,0.5082617371290147,0.25920456687379384,0.4047383770077819
ProteinGym,BLAT_ECOLX_Firnberg_2014,4783,0.7074323203493151,0.3782169652480487,0.5687421936150285
ProteinGym,BLAT_ECOLX_Stiffler_2015,4996,0.7059851531994071,0.6094078659351213,0.7054471634409565
ProteinGym,CALM1_HUMAN_Weile_2017,1813,0.2694482694146845,0.235351957456965,0.4228660267572
ProteinGym,CCDB_ECOLI_Tripathi_2016,1663,0.542341403013392,0.8659033181469983,0.8832712618809715
ProteinGym,CP2C9_HUMAN_Amorosi_abundance_2021,6370,0.6087797485812942,0.5208958944297822,0.614578900115952
ProteinGym,CP2C9_HUMAN_Amorosi_activity_2021,6142,0.6338139526333009,0.7395907168486084,0.6588324796833541
ProteinGym,DYR_ECOLI_Thompson_plusLon_2019,2363,0.5029693152032852,-0.016012976190193557,0.3686506375263114
ProteinGym,ESTA_BACSU_Nutschel_2020,2172,0.3390036778024552,0.17262241828566205,0.2682280341777843
ProteinGym,I6TAH8_I68A0_Doud_2015,9462,0.008904419157687318,-0.009399894624900887,-0.0159106895871439
ProteinGym,IF1_ECOLI_Kelsic_2016,1367,0.5482851055108928,0.5876422306172033,0.680272253515826
ProteinGym,KKA2_KLEPN_Melnikov_2014,4960,0.6528470296394804,0.3885514020791119,0.4220561060710658
ProteinGym,MK01_HUMAN_Brenan_2016,6809,0.1964076052924014,0.02314728112932923,0.03137923881062357
ProteinGym,MTH3_HAEAE_Rockah-Shmuel_2015,1777,0.6441538760758108,0.46171973283902573,0.458794631298044
ProteinGym,NCAP_I34A1_Doud_2015,9462,0.024647792417189045,-0.00967816252547299,-0.021498076021301972
ProteinGym,NUD15_HUMAN_Suiter_2020,2844,0.6569985145482693,0.4656565806794521,0.6094675725412685
ProteinGym,P53_HUMAN_Giacomelli_NULL_Etoposide_2018,7467,0.4645025628801136,0.12446061242945416,0.32895254725245215
ProteinGym,P53_HUMAN_Giacomelli_NULL_Nutlin_2018,7467,0.4436852120895755,-0.03984460277820436,0.16375925124226248
ProteinGym,P53_HUMAN_Giacomelli_WT_Nutlin_2018,7467,0.4850863627116974,0.09048121380747906,0.27444718359087006
ProteinGym,P84126_THETH_Chan_2017,1519,0.6153964195864202,0.7615638444582657,0.7041065186684564
ProteinGym,PTEN_HUMAN_Matreyek_2021,5083,0.4804673491555709,0.25452120887378493,0.40195461128285337
ProteinGym,PTEN_HUMAN_Mighell_2018,7260,0.5551792068561548,0.3517816801851064,0.45660583638573554
ProteinGym,R1AB_SARS2_Flynn_growth_2022,5725,-0.03724839911511509,-0.18685139942169546,-0.16710095932569757
ProteinGym,RASH_HUMAN_Bandaru_2017,3134,0.4237403793297887,0.2307490360320951,0.3908926227374058
ProteinGym,REV_HV1H2_Fernandes_2016,2147,0.14610338479191895,-0.01654519760195301,0.0685530215369765
ProteinGym,RL401_YEAST_Mavor_2016,1253,0.39308378824677176,0.5205524830823332,0.6940168879966911
ProteinGym,RL401_YEAST_Roscoe_2014,1380,0.3276626881510513,0.5802730459010561,0.7327970769706462
ProteinGym,SUMO1_HUMAN_Weile_2017,1700,0.38539878428209506,0.3031893996274721,0.38972119646704007
ProteinGym,SYUA_HUMAN_Newberry_2020,2497,0.1800255132366008,0.13534419560530353,0.34798897764525083
ProteinGym,TAT_HV1BR_Fernandes_2016,1577,0.45064849441130644,0.20502783932707808,0.28947630073875275
ProteinGym,TPK1_HUMAN_Weile_2017,3181,0.2714524710351294,0.15549381194481066,0.1696195790472256
ProteinGym,TPMT_HUMAN_Matreyek_2018,3648,0.5613086213745971,0.2576857894887153,0.3812178394549598
ProteinGym,TRPC_SACS2_Chan_2017,1519,0.6303501857532355,0.644157274283217,0.7083361821634668
ProteinGym,TRPC_THEMA_Chan_2017,1519,0.47630310259283976,0.4345245661909896,0.4579337556671708
ProteinGym,UBC9_HUMAN_Weile_2017,2563,0.4985823072379064,0.2247381358779808,0.3660955108153087
ProteinGym,VKOR1_HUMAN_Chiasson_abundance_2020,2695,0.44784619189943625,0.5416479803619009,0.5073803684653668
SSMuLA,DHFR,8000,0.41183369853646407,0.63311001065428,0.7822162067255898
SSMuLA,GB1,149361,0.1448679689495958,0.05923271711939252,0.16322287320112083
SSMuLA,ParD2,7882,0.57964206400661,0.5156673476980577,0.47808330878475314
SSMuLA,ParD3,7882,0.5713781152288028,0.7668454169255813,0.5288369603423777
SSMuLA,T7,6725,0.009131960027748095,0.035607497977661585,0.014767897386987723
SSMuLA,TEV,159132,0.12187635377070591,0.23389207274800505,0.2241434734948044
