model,target,diff,lo,hi,wilcoxon_p,baseline_wins,studies
ESM-2 650M,activity,0.24390120128734277,-0.13801139532359916,0.6860887989042797,0.21821892261505127,14,24
ESM-2 650M,stability,0.7087759088484771,0.22290101553519517,1.2189071224691919,0.000244140625,13,14
ESM-C 300M,activity,0.16867804917074725,-0.17617997382407566,0.5322022419144823,0.6839864253997803,11,24
ESM-C 300M,stability,0.5198639655847662,0.10445514214373394,0.9934169198940423,0.0008544921875,12,14
