assay,scheme,n,bulk_base,bulk_recipe,util_base_0.01,util_recipe_0.01,util_base_0.1,util_recipe_0.1,d_bulk,d_util_0.01,d_util_0.1
NCAP_I34A1_Doud_2015,random,9462,0.6430439344730593,0.6433746402719307,0.5223084092140198,0.5145200490951538,0.5915882587432861,0.5826753377914429,0.00033070579887140017,-0.007788360118865967,-0.008912920951843262
NCAP_I34A1_Doud_2015,modulo,9462,0.35546485380829446,0.3570326647365284,0.3076039254665375,0.3058665096759796,0.347886860370636,0.35901182889938354,0.001567810928233937,-0.0017374157905578613,0.011124968528747559
NCAP_I34A1_Doud_2015,contiguous,9462,0.35901941373879714,0.3585227594690009,0.29672810435295105,0.3139330744743347,0.35034629702568054,0.3514123260974884,-0.0004966542697962262,0.017204970121383667,0.0010660290718078613
I6TAH8_I68A0_Doud_2015,random,9462,0.73616869854153,0.7396458515127332,0.7101302146911621,0.7232564091682434,0.738342821598053,0.7354254126548767,0.0034771529712032123,0.013126194477081299,-0.0029174089431762695
I6TAH8_I68A0_Doud_2015,modulo,9462,0.31617738662376527,0.3165292056023928,0.25841671228408813,0.25794848799705505,0.28084316849708557,0.2723909914493561,0.0003518189786275161,-0.00046822428703308105,-0.008452177047729492
I6TAH8_I68A0_Doud_2015,contiguous,9462,0.32418675697610827,0.32831101391304074,0.22783271968364716,0.2346692979335785,0.2714007794857025,0.2813200354576111,0.004124256936932469,0.0068365782499313354,0.00991925597190857
B3VI55_LIPST_Klesmith_2015,random,7890,0.7592471674458227,0.7618329347554222,0.7454133033752441,0.8069402575492859,0.8526309132575989,0.8799673914909363,0.002585767309599585,0.06152695417404175,0.027336478233337402
B3VI55_LIPST_Klesmith_2015,modulo,7890,0.5878277058285476,0.5809294306977726,0.6103565096855164,0.6500546336174011,0.6253607273101807,0.6239234209060669,-0.006898275130775011,0.039698123931884766,-0.0014373064041137695
B3VI55_LIPST_Klesmith_2015,contiguous,7890,0.5692963008324586,0.5674281946491547,0.6008499264717102,0.633458137512207,0.5943179726600647,0.5941363573074341,-0.001868106183303908,0.032608211040496826,-0.00018161535263061523
ADRB2_HUMAN_Jones_2020,random,7800,0.5942006411045799,0.5981061414521595,0.21795618534088135,0.20530974864959717,0.3125614821910858,0.3174969553947449,0.003905500347579527,-0.01264643669128418,0.004935473203659058
ADRB2_HUMAN_Jones_2020,modulo,7800,0.5180795253673295,0.5527636955820401,0.11198995262384415,0.17966818809509277,0.24066953361034393,0.28657469153404236,0.0346841702147106,0.06767823547124863,0.045905157923698425
ADRB2_HUMAN_Jones_2020,contiguous,7800,0.4877319251819421,0.5504784095413904,0.06107185408473015,0.17567239701747894,0.21631592512130737,0.2752706706523895,0.0627464843594483,0.1146005429327488,0.05895474553108215
P53_HUMAN_Giacomelli_NULL_Etoposide_2018,random,7467,0.7204640194461294,0.735975346655378,0.5856420993804932,0.6626816391944885,0.7667195796966553,0.8105223774909973,0.015511327209248638,0.07703953981399536,0.04380279779434204
