proxy,studies,weighted_mean_rho,median_rho,studies_positive,sign_test_p
n_mut,14,0.4972879564067165,0.6746872759113773,12,0.012939453125
hydropathy,14,0.16252225223153774,0.1698761680051479,11,0.057373046875
esm2_wtm,14,-0.02257600917804968,0.006710867048168638,7,1.0
blosum62,14,-0.35643492854956815,-0.4924249755476691,3,0.057373046875
